This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Developed_ex_US.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
200808  ,-6.80  ,-4.74  ,-4.81  ,-4.78  ,-4.26  ,-3.97
200809 ,-15.23 ,-15.04 ,-15.44 ,-15.48 ,-12.38 ,-15.52
200810 ,-21.57 ,-22.42 ,-23.72 ,-24.50 ,-22.40 ,-17.28
200811  ,-3.90  ,-4.90  ,-4.71  ,-4.26  ,-6.49  ,-5.32
200812   ,7.78   ,6.84   ,6.85   ,7.85   ,7.21   ,5.34
200901  ,-4.06  ,-6.39  ,-6.62  ,-9.18 ,-10.42  ,-8.52
200902  ,-9.30  ,-8.84  ,-8.67 ,-12.60 ,-10.71  ,-8.24
200903   ,3.98   ,3.48   ,5.68   ,6.56   ,6.93   ,5.72
200904   ,9.60  ,11.79  ,14.40  ,14.96  ,13.57  ,10.40
200905  ,15.79  ,16.01  ,16.43  ,14.49  ,12.76  ,13.57
200906   ,1.64   ,2.47   ,2.39  ,-1.73  ,-0.86  ,-0.98
200907   ,5.85   ,7.59   ,8.06  ,10.16  ,10.81   ,8.07
200908   ,5.66   ,7.15   ,7.58   ,5.94   ,5.16   ,1.73
200909   ,5.44   ,5.74   ,6.90   ,4.57   ,4.93   ,4.08
200910  ,-0.97  ,-0.77  ,-0.23  ,-4.06  ,-2.09  ,-0.56
200911   ,0.35   ,0.51  ,-0.06   ,1.06   ,2.99   ,2.99
200912  ,-0.77   ,0.74   ,0.70  ,-0.29   ,1.74   ,2.09
201001  ,-1.03  ,-0.34  ,-0.21  ,-5.27  ,-4.00  ,-4.34
201002  ,-0.29  ,-0.23  ,-0.21  ,-0.20  ,-0.18  ,-0.22
201003   ,5.24   ,6.60   ,6.30   ,7.29   ,6.11   ,6.17
201004   ,2.44   ,2.89   ,4.19  ,-1.96  ,-0.66  ,-1.40
201005 ,-11.27 ,-10.33 ,-11.02 ,-10.91 ,-10.48 ,-10.73
201006  ,-1.42  ,-0.50  ,-0.76  ,-1.11  ,-0.46  ,-2.15
201007   ,7.23   ,6.81   ,7.63  ,10.95   ,9.68   ,8.38
201008  ,-3.07  ,-3.00  ,-2.23  ,-4.64  ,-3.01  ,-2.67
201009  ,10.72   ,9.59  ,10.72   ,9.92  ,10.90   ,9.02
201010   ,3.29   ,2.88   ,4.05   ,3.04   ,4.58   ,4.21
