This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
201701   6.61   5.61   5.18   3.91   3.06   4.29
201702   3.52   2.86   4.11   0.62   0.57   1.63
201703   3.81   1.70   1.09   1.66   1.47  -1.15
201704  -1.29   0.55   0.39   1.57   1.94   0.55
201705   8.28   5.20   2.79   5.96   2.99  -0.92
201706   3.42   2.54   2.36  -0.41   0.88   3.12
201707   2.70   4.39   4.57   2.08   2.93   1.24
201708   1.50   1.79   3.49   0.88   0.24  -0.94
201709  -0.08   1.83   3.07   1.25   1.56   2.87
201710   3.27   2.82   3.08   4.47   4.73   3.49
201711   4.72   2.54   1.71   3.44   2.57   1.89
201712   3.46   3.14   3.24  -0.45   0.93   3.69
201801   8.54   6.12   4.65   4.96   4.59   3.12
201802   0.43  -0.41  -1.71  -0.26  -2.05  -1.76
201803   1.11  -1.87  -2.95   0.47  -1.90  -2.86
201804  -4.74  -0.90   0.33  -1.17   0.97   2.57
201805   3.67   0.11  -2.00   1.52  -2.21  -3.66
201806  -3.74  -2.39  -3.34  -1.89  -1.99  -3.59
201807  -2.20  -1.06  -0.11  -1.00   0.07   1.48
201808   1.90  -0.10  -2.03   1.71  -1.68  -0.21
201809   1.36   0.53   1.33   2.23   3.30   4.06
201810 -10.45  -8.22  -8.37 -11.71  -7.93  -5.98
201811   3.28   1.25   0.70   3.44   0.69  -1.29
201812 -15.05 -10.13  -8.35  -8.24  -5.79  -6.37
201901   7.06   3.78   2.88   5.19   5.23   6.37
201902   3.88   2.05   1.85   3.52  -0.76  -1.73
201903   1.63  -0.77  -0.44   2.19  -0.17  -0.82
201904   0.32   1.21   0.75   3.04   1.42  -0.26
201905  -1.65  -3.79  -3.63  -3.29  -3.40  -4.46
201906   2.05   2.61   2.27   2.43   3.20   2.41
201907   2.01   1.48   1.36   2.05   0.54  -2.05
201908  -3.06  -2.94  -3.33   0.64  -0.49  -3.85
201909   1.50   3.99   4.50   3.04   3.50   6.64
201910   2.35   6.49   7.23   5.14   4.59   5.10
201911   4.02   1.42   1.15   1.38   0.31   0.31
201912   1.76   3.06   3.76   2.17   2.09   2.07
202001  -3.42  -3.06  -3.75  -1.28  -0.97  -3.88
202002 -17.32 -13.64 -13.35 -10.06  -8.95  -9.66
202003  -8.24  -3.12  -3.07   0.59  -6.62 -11.65
202004  13.95   6.09   3.40   6.75   3.83   3.31
202005  15.00   8.35   5.59   9.60   4.15   4.23
202006   1.97  -0.53  -1.17   1.69  -0.58  -3.15



  Average Equal Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   4.48   5.54   8.59   2.91   2.67   4.27
199008 -16.95 -15.78 -15.43 -12.85 -13.52 -13.12
199009 -14.96 -16.76 -15.86 -18.36 -16.92 -17.77
199010  28.38  29.45  26.27  31.52  29.17  28.15
199011 -19.87 -18.56 -18.08 -17.61 -15.00 -16.27
199012  -1.25  -2.76  -2.88   1.04   1.03  -0.86
