This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
201510   6.48   5.53   6.29   8.31   6.64   8.68
201511   0.49  -0.41  -1.34  -3.54  -1.60  -2.75
201512   2.12   2.28   0.40   1.90   2.24   1.17
201601  -8.98  -8.81 -10.69  -7.40  -9.14  -9.93
201602   0.70   1.85   0.25   3.81  -0.55   1.47
201603   8.85   8.98   7.78  11.62  10.95   9.85
201604   3.20   4.51   1.68   1.64   1.30   0.82
201605  -1.44  -1.96  -1.22  -3.75  -1.36  -0.83
201606   0.04   1.20   1.35  -0.04   0.88  -0.45
201607   3.23   2.18   1.54   5.16   6.57   7.16
201608  -0.02   1.95   0.67   0.53  -1.69   1.14
201609   3.89   3.35   4.21   3.73   2.16   2.04
201610   1.16  -0.14  -1.26   0.22  -2.12  -2.51
201611  -1.49  -1.38  -2.17   0.78  -0.83   0.73
201612  -0.97  -0.19  -2.74  -2.98  -1.24  -2.23
201701   5.97   4.37   3.44   7.39   6.04   4.44
201702   2.05   1.39  -0.21   0.65   3.03   3.21
201703  -0.27   3.34  -0.57   3.36   3.10   2.69
201704  -2.39   1.32  -1.57  -0.08   0.37   1.65
201705  -1.29  -0.66  -0.60   0.69  -0.07  -1.23
201706  -0.64   1.43   0.55   1.09   2.84   1.62
201707   3.08   2.80   2.90   4.37   3.61   0.17
201708  -0.14   0.31  -0.31   1.80   0.46  -0.11
201709   3.22   1.11   1.02  -0.48  -0.89   2.58
201710   3.99   2.85   3.46   0.79   1.41   2.62
201711   0.29  -1.45   0.11  -0.29   1.74   2.27
201712   3.77   2.83   4.30   3.95   2.30   4.30
201801   3.08   2.99   3.76   4.21   4.22   4.89
201802  -3.12  -3.33  -3.69  -3.15  -3.25  -1.58
201803  -1.83  -1.20  -2.45  -4.39  -3.10  -2.98
201804  -2.30  -1.15  -2.19   3.36   2.21   1.42
201805   0.62   0.93   1.85   0.63  -0.24   1.75
201806  -4.54  -3.50  -4.91  -2.80  -2.62  -2.50
201807  -0.52  -1.20  -2.13   0.73   2.51   1.30
201808  -2.60  -2.82  -4.13  -3.34  -2.18  -0.53
201809  -0.31  -1.11  -1.17  -0.60   0.44  -2.52
201810  -7.99  -7.33  -9.97  -8.36  -9.08 -10.75
201811   1.52   1.86   3.04   2.35   3.06   6.55
201812  -4.35  -3.48  -5.23  -2.97  -2.27  -1.07
201901   2.50   4.29   1.91   7.31   6.22   7.89
201902   1.18   2.51   2.79   3.77   3.48   3.75
201903   0.22   1.29   1.22   1.14   1.28   0.10
201904   1.08   0.71   1.67   2.10   1.93   1.48
201905  -4.84  -2.91  -4.49  -2.73  -4.15  -5.67
201906   2.51   0.43   1.18   5.74   4.94   6.68
201907  -0.74   0.58   0.03  -1.85  -2.11   0.77
201908  -4.83  -5.68  -4.60  -6.85  -6.61  -4.65
201909   0.78   2.29   3.24   1.85   1.16   0.38
201910   0.31   2.08   0.82   2.46   2.77   5.17
201911  -1.19  -0.09  -1.99   0.67  -1.42   2.28
201912   3.58   4.15   5.35   3.47   2.43   3.69
202001  -4.18  -3.58  -4.42  -2.77  -3.23  -1.31
202002  -6.90  -7.13  -9.71  -7.98  -6.00  -5.60
202003 -18.30 -20.47 -21.64 -17.73 -20.00 -18.09
202004   8.36  12.16  13.85  12.60   8.48  14.26
202005   0.91   3.75   7.92   2.12  -2.13   0.65
202006   4.47   5.13   4.59   6.48   8.72   8.03



  Average Equal Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   4.33   1.45   1.53   4.29   3.86   3.75
199008   1.33  -1.79  -1.22  -6.59  -6.83  -7.09
199009  -3.74  -4.53  -6.17  -5.83  -8.46  -8.10
199010  -8.40  -6.00  -8.50  -2.66  -0.78  -3.87
199011  -4.82  -2.91  -0.98  -3.78  -4.17  -4.76
199012  -2.78  -3.09  -4.02  -1.67  -1.01  -1.39
199101   1.56   1.35  -0.25   4.51   6.51   5.12
199102   6.53   6.67   5.41  10.64  10.51  12.02
199103   6.34   0.33   1.29   0.58   1.12   1.73
199104   7.50   4.91   4.03   4.12   2.74   0.53
199105   1.98  -3.68  -0.97  -1.98  -2.26  -1.12
199106   2.35   2.88   3.92  -1.07  -0.65  -1.62
199107  11.63   6.87   9.38   5.75   6.40   4.41
199108   0.72   1.17  -0.64  -1.14  -2.13  -0.43
199109   5.50   4.27   5.09   1.92   1.25   1.66
199110  11.09   5.74   5.25   3.40   3.38   3.16
199111   4.44   1.39   6.89  -1.46   1.48   1.82
199112  -3.20  -0.65  -1.67   0.03   1.20   2.08
199201   3.91   1.47   2.26   1.96   1.66   3.07
199202   5.58   3.24   7.59   0.81   1.59   0.67
199203   1.14  -0.71   0.50  -0.12   0.17  -0.19
199204  -2.88  -1.67  -4.06   2.38   5.06   4.78
199205   2.39   4.37   1.67   7.25   7.69   6.24
199206  -5.51  -2.78  -3.12  -1.20  -0.16  -0.54
199207   3.58  -0.70   2.33  -3.90  -1.45  -4.17
199208  -6.35  -6.27  -4.24  -6.70  -5.38  -6.89
199209  -0.30  -0.19   0.19  -2.51  -0.90  -0.87
199210  -2.80  -0.26  -0.49  -0.41   2.50   3.52
199211  -2.91   0.75   1.43  -0.39  -0.45  -0.78
199212   6.87   2.84   4.13   3.84   0.82  -1.19
199301   3.66   1.15   4.37   0.58   2.85   1.59
199302  10.19  10.13   8.11   7.28   7.08   8.62
199303  12.65   9.23   6.83   3.41   2.81   6.59
199304  12.44   8.51   9.07   7.54   6.40   7.26
199305   8.48   8.58   7.11   5.74   5.63   5.50
199306  -1.05  -0.14   1.58  -2.61  -2.11  -3.26
199307  15.77   7.18  13.78   2.94   2.92  -0.34
199308   6.47   3.92   5.99   3.34   7.54   5.92
199309  -5.13  -3.35  -8.61  -2.41   0.08  -0.10
199310   9.29  10.49  12.17  12.30  13.36  16.67
199311  -1.24   0.11  -2.48  -1.88  -0.47  -0.92
199312  17.20  17.70  17.19  14.69  19.31  19.02
199401  17.06  11.82  13.26   4.25   1.12   0.99
199402   7.08   2.60   2.74  -3.97  -4.40  -5.98
199403  -8.51  -6.95  -9.29  -8.22  -8.61  -9.62
199404   1.85   1.01  -1.54   1.85   3.57   1.17
199405   1.38   1.14  -0.70   3.99   2.88   2.69
199406  -4.53  -3.86  -6.09  -5.90  -4.84  -5.99
199407   4.27   2.95   3.65   4.24   3.75   3.46
199408   1.06   1.32   1.21   4.02   3.47   2.59
199409  -0.87  -0.21  -0.58  -1.10  -1.03  -0.24
199410  -1.24  -0.73  -3.01   1.10   1.49  -0.33
199411  -4.80  -4.65  -9.16  -5.71  -7.27 -11.65
199412  -1.84  -1.32  -2.95   0.07  -0.83  -2.23
199501  -4.56  -7.53  -8.52  -6.77  -7.78  -9.29
199502  -0.88  -1.74  -0.24   1.76   5.42   5.88
199503  -2.76  -0.89  -4.16   0.24   0.15   0.22
199504   3.39   0.94   0.86   4.99   2.18  -0.77
199505  -2.57  -1.61   0.16  -0.65   4.39   6.84
199506  -2.57  -0.40  -0.68  -1.16  -2.37  -0.70
199507   7.17   7.35  11.04   6.09   4.96   6.27
199508   7.42   6.08   8.11   1.12  -1.64  -1.03
199509   1.66   1.65   0.68   0.86   1.28   2.67
199510  -0.59  -0.89  -2.13  -1.43  -0.63  -1.24
199511   2.07   0.67   1.44   0.97   0.81   0.92
199512   0.31   0.53   0.29   2.83   3.39   2.96
199601   7.78   6.76  11.08   6.51   7.74  12.71
199602   6.26   3.19   4.93   1.17   1.80   0.92
199603   1.79  -0.22  -0.32   0.93  -0.36  -1.15
199604   2.60   3.16   3.60   3.08   2.02   1.50
199605   5.32   2.09   6.44  -0.95  -0.70  -0.05
