This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200907  10.03  10.04  11.95   9.26   8.95   6.03
200908   3.54   3.81   3.94   5.69   2.62   1.37
200909   6.89   7.33   9.46   3.72   4.70   4.14
200910  -7.87  -4.27  -5.63  -5.71  -2.19  -0.17
200911   3.89   3.49   3.73   4.65   6.78   5.84
200912   7.51   7.58   9.46   2.10   3.08   1.94
201001  -2.83  -3.40  -3.18  -2.24  -3.75  -4.73
201002   5.02   4.93   5.78   4.43   3.32   3.21
201003   8.04   7.62   8.16   7.18   6.61   4.62
201004   6.02   4.78   7.16   1.37   0.85   2.22
201005  -8.54  -7.16  -7.29  -7.74  -7.45  -8.33
201006  -7.26  -7.01  -8.13  -5.46  -5.37  -4.91
201007   7.13   7.34   6.50   5.77   7.70   6.79
201008  -6.47  -5.72  -7.19  -5.60  -4.06  -3.48
201009  13.49  11.40  12.58   8.58   9.57   9.07
201010   4.41   4.56   4.31   2.54   3.97   4.31
201011   4.72   3.25   4.82   0.79   0.13   0.38
201012  10.21   6.97   6.76   8.90   7.08   5.09
201101   0.12   0.28   0.56   2.06   2.74   1.87
201102   6.35   5.99   4.16   4.62   4.25   3.01
201103   1.40   2.46   3.29  -1.46   0.47   0.97
201104   1.95   3.05   2.74   1.76   2.86   3.37
201105  -3.72  -2.24  -0.75  -2.98  -1.26  -0.57
201106  -3.92  -1.27  -0.86  -3.38  -1.64  -1.05
201107  -3.04  -3.16  -2.20  -4.01  -2.18  -0.98
201108  -9.71  -6.52  -9.08  -7.35  -5.39  -4.62
201109 -13.42 -10.85 -11.56 -10.20  -8.53  -6.75
201110  14.90  13.23  15.19  12.72  11.47  10.29
201111  -1.90   0.07  -1.06  -2.36   0.25   0.26
201112  -0.19   0.27   0.11   0.63   0.37   0.32
201201   8.13   6.27   6.61   6.42   4.46   4.74
201202   3.20   2.53   4.14   4.69   4.07   4.59
201203   1.48   1.82   1.04   3.78   1.69   2.51
201204  -1.80  -1.43  -1.09  -1.74   0.02  -0.34
201205  -8.01  -6.26  -6.45  -8.16  -6.61  -5.71
201206   4.78   3.80   3.87   4.80   3.00   3.75
201207  -1.55   0.08  -1.38   0.01   1.94   1.38
201208   3.83   3.86   3.16   3.69   2.68   2.12
201209   3.87   3.90   3.25   4.34   2.91   1.60
201210  -2.01  -1.39  -1.82  -0.42  -1.38  -2.47
201211  -0.20   1.01   1.72   0.34   1.63  -0.07
201212   3.39   3.03   3.60   3.11   1.27  -0.29
201301   5.77   5.38   6.58   6.30   5.85   3.97
