This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  INV is percentage difference in Total Assets at the last fiscal year end of the prior calendar
year from the previous fiscal year as of 6 months before formation.  Firms with negative
INV are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19911115   0.35   0.30   1.13   0.52   0.76   0.81
19911118  -2.43  -2.29  -2.85  -2.05  -1.91  -1.80
19911119   1.75   1.68   2.23   1.76   1.17   1.22
19911120  -0.64  -1.07  -0.65  -1.62  -1.11  -0.94
19911121   0.54   0.61   0.98   0.46   1.04   0.92
19911122   0.52   1.26   1.28  -0.52   0.27   0.38
19911125  -0.88  -0.71  -0.54  -1.38  -0.81  -1.43
19911126  -0.98  -1.15  -0.36  -0.38   0.06  -0.22
19911127   0.30  -0.23  -0.46  -0.09  -0.18   0.06
19911128  -0.84  -0.80  -0.77  -1.34  -1.11  -1.26
19911129   0.16  -0.23  -0.37   0.20   0.08   0.34
19911202  -0.35  -0.52  -0.43  -1.28  -1.06  -1.09
19911203   0.08   0.82   0.11   1.07   0.99   0.79
19911204   0.30   0.08   0.19   0.93   0.49   0.37
19911205  -0.64  -0.49  -0.54  -0.92  -0.59  -0.33
19911206  -1.03  -0.73  -1.30  -1.17  -0.45  -0.30
19911209  -0.65  -1.03  -0.36  -0.65   0.05  -0.14
19911210  -0.23  -0.16   0.43  -1.02  -1.07  -0.44
19911211  -0.63  -0.84  -1.33  -0.96  -0.54  -0.97
19911212   0.33   0.27   0.33   1.27   0.59   0.92
19911213   0.14  -0.21   0.21   0.91   0.58   0.66
19911216   0.45   0.65   0.47   0.71   0.68   0.86
19911217   0.00  -0.06   0.17   0.01  -0.14   0.01
19911218  -0.39  -0.36  -0.44  -1.45  -0.34  -0.62
19911219   0.28   0.13   0.03  -0.37   0.20  -0.30
19911220  -0.83  -1.01  -0.92  -1.39  -0.78  -1.14
19911223  -0.24  -0.35  -0.83  -0.99  -0.03  -0.33
19911224   0.78   0.91   0.73   0.94   0.87   1.15
19911225  -0.01  -0.01  -0.01  -0.01  -0.02  -0.03
19911226   0.19   0.25   0.23   0.09   0.11   0.25
19911227   0.37   0.15   0.34   1.06   1.01   0.98
19911230   0.18   0.15   0.38   1.23   0.79   0.67
19911231   0.17   0.57   0.16   0.31   0.56   0.30
19920101   0.00   0.00   0.00   0.00   0.00   0.00
19920102   0.28   0.46   0.29   1.09   0.58   0.83
19920103   0.01   0.14   0.00   0.08   0.02   0.21
19920106   1.27   1.16   2.12   1.81   1.11   1.44
19920107  -0.58  -0.55  -0.62  -0.47   0.16   0.11
19920108  -0.42  -0.55   0.07  -0.68  -0.25  -0.37
19920109  -1.11  -0.83  -1.05  -1.27  -0.53  -0.44
19920110   0.09  -0.14  -0.22   0.14  -0.10  -0.30
19920113   0.18   0.49   0.61  -0.44  -0.27  -0.70
19920114   0.21   0.45   0.33   0.09   0.15   0.44
19920115   0.86   0.53   0.76   0.99   0.91   1.33
19920116   0.69   0.36   0.73   0.22   0.11   0.41
19920117  -0.12   0.16   0.13   0.46   0.34   0.45
19920120   1.28   1.13   1.52   0.80   0.96   0.91
19920121  -0.51  -0.22  -0.10  -0.68  -0.39  -0.09
19920122  -0.02   0.15  -0.35  -0.12  -0.07   0.02
19920123  -0.57  -0.54  -0.82   0.02   0.38   0.05
19920124  -0.04  -0.94  -0.42  -1.31  -0.78  -1.07
19920127  -0.22  -0.25  -0.36  -0.27  -0.65  -0.43
