This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
2009   ,35.17   ,14.39    ,1.33    ,0.10
2010    ,6.31   ,10.01   ,-8.74    ,0.12
2011  ,-13.13   ,-7.57  ,-12.38    ,0.04
2012   ,20.78    ,1.31    ,2.27    ,0.06
2013   ,28.01    ,8.79    ,9.89    ,0.02
2014   ,-6.34   ,-2.56   ,-5.09    ,0.02
2015   ,-0.51   ,10.53  ,-16.87    ,0.02
2016   ,-0.04    ,4.11   ,11.08    ,0.20
2017   ,28.21    ,6.39    ,3.01    ,0.80
2018  ,-16.08   ,-4.28   ,-3.32    ,1.81
2019   ,21.83   ,-1.20  ,-11.85    ,2.14
