date,recession
01-Jun-1948,0
01-Jul-1948,0
01-Aug-1948,0
01-Sep-1948,0
01-Oct-1948,0
01-Nov-1948,0
01-Dec-1948,1
01-Jan-1949,1
01-Feb-1949,1
01-Mar-1949,1
01-Apr-1949,1
01-May-1949,1
01-Jun-1949,1
01-Jul-1949,1
01-Aug-1949,1
01-Sep-1949,1
01-Oct-1949,1
01-Nov-1949,0
01-Dec-1949,0
01-Jan-1950,0
01-Feb-1950,0
01-Mar-1950,0
01-Apr-1950,0
01-May-1950,0
01-Jun-1950,0
01-Jul-1950,0
01-Aug-1950,0
01-Sep-1950,0
01-Oct-1950,0
01-Nov-1950,0
01-Dec-1950,0
01-Jan-1951,0
01-Feb-1951,0
01-Mar-1951,0
01-Apr-1951,0
01-May-1951,0
01-Jun-1951,0
01-Jul-1951,0
01-Aug-1951,0
01-Sep-1951,0
01-Oct-1951,0
01-Nov-1951,0
01-Dec-1951,0
01-Jan-1952,0
01-Feb-1952,0
01-Mar-1952,0
01-Apr-1952,0
01-May-1952,0
01-Jun-1952,0
01-Jul-1952,0
01-Aug-1952,0
01-Sep-1952,0
01-Oct-1952,0
01-Nov-1952,0
01-Dec-1952,0
01-Jan-1953,0
01-Feb-1953,0
01-Mar-1953,0
01-Apr-1953,0
01-May-1953,0
01-Jun-1953,0
01-Jul-1953,0
01-Aug-1953,1
01-Sep-1953,1
01-Oct-1953,1
01-Nov-1953,1
01-Dec-1953,1
01-Jan-1954,1
01-Feb-1954,1
01-Mar-1954,1
01-Apr-1954,1
01-May-1954,1
01-Jun-1954,0
01-Jul-1954,0
01-Aug-1954,0
01-Sep-1954,0
01-Oct-1954,0
01-Nov-1954,0
01-Dec-1954,0
01-Jan-1955,0
01-Feb-1955,0
01-Mar-1955,0
01-Apr-1955,0
01-May-1955,0
01-Jun-1955,0
01-Jul-1955,0
01-Aug-1955,0
01-Sep-1955,0
01-Oct-1955,0
01-Nov-1955,0
01-Dec-1955,0
01-Jan-1956,0
01-Feb-1956,0
01-Mar-1956,0
01-Apr-1956,0
01-May-1956,0
01-Jun-1956,0
01-Jul-1956,0
01-Aug-1956,0
01-Sep-1956,0
01-Oct-1956,0
01-Nov-1956,0
01-Dec-1956,0
01-Jan-1957,0
01-Feb-1957,0
01-Mar-1957,0
01-Apr-1957,0
01-May-1957,0
01-Jun-1957,0
01-Jul-1957,0
01-Aug-1957,0
01-Sep-1957,1
01-Oct-1957,1
01-Nov-1957,1
01-Dec-1957,1
01-Jan-1958,1
01-Feb-1958,1
01-Mar-1958,1
01-Apr-1958,1
01-May-1958,0
01-Jun-1958,0
01-Jul-1958,0
01-Aug-1958,0
01-Sep-1958,0
01-Oct-1958,0
01-Nov-1958,0
01-Dec-1958,0
01-Jan-1959,0
01-Feb-1959,0
01-Mar-1959,0
01-Apr-1959,0
01-May-1959,0
01-Jun-1959,0
01-Jul-1959,0
01-Aug-1959,0
01-Sep-1959,0
01-Oct-1959,0
01-Nov-1959,0
01-Dec-1959,0
01-Jan-1960,0
01-Feb-1960,0
01-Mar-1960,0
01-Apr-1960,0
01-May-1960,1
01-Jun-1960,1
01-Jul-1960,1
01-Aug-1960,1
01-Sep-1960,1
01-Oct-1960,1
01-Nov-1960,1
01-Dec-1960,1
01-Jan-1961,1
01-Feb-1961,1
01-Mar-1961,0
01-Apr-1961,0
01-May-1961,0
01-Jun-1961,0
01-Jul-1961,0
01-Aug-1961,0
01-Sep-1961,0
01-Oct-1961,0
01-Nov-1961,0
01-Dec-1961,0
01-Jan-1962,0
01-Feb-1962,0
01-Mar-1962,0
01-Apr-1962,0
