This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 INV portfolios in North_America.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. Investment is the change in total assets from the fiscal year ending in year t-2
to the fiscal year ending in t-1, divided by t-2 total assets.
The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007  -2.61  -2.89  -4.26  -1.10  -2.08  -2.64
199008 -10.49 -10.14 -12.56  -8.50  -9.76 -11.13
199009  -8.43  -7.35  -9.48  -5.47  -6.73  -9.69
199010  -5.92  -5.21  -6.54  -3.89  -1.97  -4.23
199011   3.86   5.25   8.05   6.53   8.48  11.07
199012   1.32   2.25   2.84   3.62   3.89   5.93
199101  11.25   7.64  11.05   4.53   5.96   7.89
199102  16.77  12.47  14.45   8.96   8.30  10.04
199103   8.54   6.09   8.16   2.63   2.89   4.07
199104   0.92   1.68   1.40   1.02   0.73   0.49
199105   4.35   3.13   3.98   3.15   5.04   4.91
199106  -4.01  -2.16  -3.65  -3.07  -4.25  -5.01
199107   3.07   2.42   3.99   4.30   3.34   5.68
199108   2.43   2.56   3.67   2.96   1.94   3.26
199109  -0.39  -0.31   1.64  -1.17  -1.04  -1.12
199110   2.70   1.87   3.61   1.95   2.10   1.99
199111  -2.95  -2.67  -3.61  -4.34  -4.25  -3.93
199112   3.03   4.99   6.95   8.06   8.73  11.92
199201  18.56   9.43  10.22   3.29   0.62   1.98
199202   6.21   4.18   4.17   3.60   1.78   1.38
199203  -0.78  -0.68  -3.54  -2.88  -2.15  -3.14
199204  -2.60  -1.73  -5.12   1.35   0.69  -1.56
199205   1.44   0.25   0.43   0.67   0.54   0.98
199206  -3.92  -3.37  -4.20  -1.65  -0.83  -3.61
199207   2.90   2.91   2.22   3.07   4.35   4.84
199208  -3.28  -1.31  -2.30  -3.27  -1.45  -2.27
199209   0.98   0.89   1.05   0.64   0.86   2.08
199210   1.80   2.01   3.19   1.42   1.49   3.22
199211   6.55   6.36   9.02   3.09   3.58   5.73
199212   5.86   3.64   3.57   3.63   3.04   2.56
199301   8.08   4.91   4.16   4.13   0.67   0.47
199302   1.00   0.39  -3.05   2.47   1.83  -2.53
199303   4.56   3.39   1.91   3.34   3.15   3.27
199304  -1.02  -1.85  -3.09  -1.04  -1.72  -3.14
199305   4.77   3.37   4.49   2.87   2.30   4.78
199306   2.53   0.31   0.64   1.45   0.90  -0.52
199307   2.19   1.84  -0.06  -0.02   0.77  -0.70
199308   3.68   3.71   4.68   4.33   4.03   4.56
199309   2.91   2.31   2.53  -0.05  -0.28   1.47
199310   5.97   4.28   4.71   2.52   1.06   1.77
199311  -0.94  -1.44  -3.08  -2.04  -2.21  -1.90
