cmtcode,date,value
2000003,1991-04-30,8.2194502021483E-01
2000003,1991-05-31,5.6669926920489E-01
2000003,1991-06-28,4.0645752232654E-01
2000003,1991-07-31,8.1513904974030E-01
2000003,1991-08-30,9.5618404444543E-01
2000003,1991-09-30,8.1271371390298E-01
2000003,1991-10-31,8.2687238581363E-01
2000003,1991-11-29,7.9258480624984E-01
2000003,1991-12-31,1.0220994475138E+00
2000003,1992-01-31,2.6217035932760E-01
2000003,1992-02-28,3.7481185946515E-01
2000003,1992-03-31,2.8392222062492E-01
2000003,1992-04-30,7.2639225181597E-01
2000003,1992-05-29,5.9817184643510E-01
2000003,1992-06-30,6.3665113182422E-01
2000003,1992-07-31,7.9071808121679E-01
2000003,1992-08-31,5.3915739335287E-01
2000003,1992-09-30,7.1060805923153E-01
2000003,1992-10-30,-1.5850923992887E-01
2000003,1992-11-30,1.1725674964290E-01
2000003,1992-12-31,6.2979372111858E-01
2000003,1993-01-29,5.2343274497869E-01
2000003,1993-02-26,4.8920224061588E-01
2000003,1993-03-31,3.6342528329506E-01
2000003,1993-04-30,3.9721765507467E-01
2000003,1993-05-28,-4.1604617452143E-02
2000003,1993-06-30,5.1236777221029E-01
2000003,1993-07-30,2.5220574732589E-01
