This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 OP portfolios
and 2 BE/ME portfolios in Emerging_Markets.

The portfolios are constructed at the end of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
,LoBM_LoOP,LoBM_HiOP,HiBM_LoOP,HiBM_HiOP
201405   ,3.26   ,4.08   ,3.85   ,4.11
201406   ,3.73   ,2.50   ,2.91   ,3.96
201407   ,0.87   ,0.68   ,2.16   ,3.71
201408   ,3.06   ,1.87   ,2.20   ,1.99
201409  ,-5.83  ,-5.05  ,-7.41  ,-6.78
201410   ,1.40   ,1.22  ,-0.86   ,0.92
201411  ,-0.23  ,-0.89  ,-1.90  ,-0.91
201412  ,-3.18  ,-4.38  ,-4.48  ,-2.88
201501   ,2.33   ,1.40  ,-0.32   ,0.05
201502   ,2.21   ,2.25   ,3.00   ,2.75
201503   ,0.56  ,-0.74  ,-1.59  ,-2.45
201504   ,8.14   ,4.06   ,9.42   ,9.18
201505  ,-1.85  ,-2.69  ,-3.39  ,-3.33
201506  ,-1.59  ,-1.45  ,-3.03  ,-3.63
201507  ,-8.14  ,-4.91  ,-7.23  ,-7.56
201508  ,-9.28  ,-7.86  ,-9.46  ,-8.71
201509  ,-0.31  ,-2.69  ,-2.11  ,-2.44
201510   ,7.06   ,6.82   ,6.44   ,8.65
201511  ,-1.12  ,-1.46  ,-3.84  ,-4.86
201512  ,-1.70  ,-1.94  ,-1.22  ,-1.70
201601  ,-8.14  ,-4.42  ,-6.93  ,-6.45
201602  ,-2.82  ,-0.52   ,0.34   ,0.08
201603  ,11.01  ,10.49  ,13.43  ,13.62
201604   ,0.00   ,0.97   ,2.48   ,0.86
201605  ,-1.34  ,-2.34  ,-5.83  ,-3.63
201606   ,2.29   ,3.80   ,4.23   ,6.16
201607   ,2.20   ,4.72   ,5.78   ,4.99
201608   ,3.08   ,1.77   ,2.45   ,3.19
201609   ,2.00   ,1.15   ,0.64   ,1.74
201610  ,-2.36  ,-1.33   ,1.99   ,0.24
201611  ,-5.98  ,-5.43  ,-3.51  ,-2.98
201612  ,-1.63   ,0.51   ,1.02   ,1.04
201701   ,5.22   ,4.93   ,5.88   ,4.51
201702   ,2.79   ,2.64   ,4.44   ,3.80
201703   ,2.94   ,3.67   ,2.16   ,2.44
201704   ,2.83   ,2.51   ,0.79   ,1.35
201705   ,4.27   ,2.91   ,1.02   ,2.79
201706   ,1.17   ,1.12   ,0.30   ,0.68
201707   ,7.08   ,5.13   ,4.46   ,5.65
201708   ,2.30   ,1.87   ,1.45   ,3.43
201709   ,0.59   ,1.43  ,-1.27  ,-2.27
201710   ,3.48   ,3.29   ,3.43   ,2.76
201711   ,0.62   ,0.88  ,-0.24   ,1.06
201712   ,1.86   ,3.79   ,3.72   ,5.05
