This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
198208,   8.7229,   8.5789,   8.4001,  13.2117,  11.7604,  13.1810
198209,   3.7521,   4.9232,   2.9155,   0.9570,   1.4928,   1.8679
198210,  13.3369,  12.9701,  14.7613,  14.3221,   9.8190,  13.6391
198211,  10.0048,   8.9245,   8.8377,   5.2199,   3.9118,   5.7548
198212,   2.0290,   0.8296,   1.1658,   0.9354,   2.1167,  -0.2616
198301,   6.8763,   5.5132,   8.1926,   4.1380,   3.4233,   3.7455
198302,   7.1123,   6.8322,   4.1754,   2.5205,   2.6772,   3.4119
198303,   6.9274,   5.4867,   3.1696,   5.2512,   2.8781,   3.3829
198304,   8.4524,   7.7452,   7.1508,   8.2821,   7.5070,   6.3812
198305,   6.8635,   5.0105,   7.2641,  -0.2666,  -1.3680,   2.3874
198306,   5.0650,   4.3956,   4.3574,   2.3759,   3.3558,   4.8722
198307,  -1.7938,  -1.2637,  -3.3472,  -1.2226,  -2.8388,  -5.3396
198308,  -3.5240,  -2.0012,  -3.7950,   3.2032,   1.3393,  -0.4163
198309,   2.1501,   2.4601,   1.3478,   1.3816,   2.2715,   1.0039
198310,  -4.7704,  -4.1537,  -7.3060,  -0.7825,  -0.7708,  -4.1826
198311,   5.1294,   4.7673,   3.9541,   3.0263,   1.9292,   2.9228
198312,  -0.8215,  -0.9443,  -2.2200,  -0.1783,  -0.7875,  -1.1917
198401,  -0.3398,  -0.1711,  -2.5101,   0.2951,   0.0319,  -3.5358
198402,  -5.5173,  -4.8533,  -5.8349,  -2.3644,  -3.3301,  -5.1864
198403,   1.7868,   1.0153,   0.8650,   2.3081,   1.0086,   1.0488
198404,  -0.9059,   0.0671,  -0.7363,   1.3698,   1.1375,  -0.3156
