This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP portfolios in Developed.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June. OP for June of year t is annual revenues minus cost of goods sold, interest expense,
and selling, general, and administrative expenses divided by book equity for the last fiscal year end in t-1.
Firms with negative BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
201808   0.67   0.10  -0.37  -0.50   0.35   2.94
201809  -0.98  -0.90  -0.67   0.73   0.37   0.75
201810 -10.43  -9.52 -10.09  -8.14  -7.60  -7.92
201811  -0.12   0.86   0.67   0.78   1.43   0.91
201812  -8.26  -7.92  -8.71  -7.52  -7.08  -7.50
201901   7.26   7.22   8.38   8.00   7.97   7.19
201902   3.19   3.22   2.66   2.62   2.88   3.56
201903  -0.98  -1.44  -0.74  -0.11   0.80   2.27
201904   1.84   2.94   3.54   4.02   3.53   3.91
201905  -5.10  -6.24  -4.81  -6.52  -5.46  -5.90
201906   4.04   5.16   4.39   6.46   6.10   6.97
201907  -0.74  -1.18  -0.80  -0.55   0.16   0.79
201908  -4.03  -3.72  -4.79  -3.83  -2.80  -0.69
201909   1.42   3.24   3.13   2.29   2.66   1.38
201910   3.22   3.18   4.41   2.61   2.10   3.35
201911   2.96   2.46   3.04   3.24   2.50   2.97
201912   4.56   4.67   4.05   3.48   2.58   3.34
202001  -3.28  -3.98  -4.49  -1.16  -1.68   0.21
202002  -8.98  -9.76 -11.44  -8.13  -8.80  -7.99
202003 -16.89 -18.19 -20.44 -16.56 -14.49 -10.07
202004  11.12  11.36  14.38   9.55   9.79  11.62
202005   5.90   6.79   8.67   4.26   5.35   5.34
202006   3.14   2.25   2.27   2.93   1.65   3.63



  Average Equal Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
199007   1.62   2.72   3.19   2.05   2.76   2.62
199008  -7.97  -8.65  -9.83 -11.68 -11.98 -11.61
199009  -8.51  -8.35  -9.73 -12.94 -12.80 -12.24
199010  -1.41   1.23   2.46  11.35  10.61  11.86
199011  -1.22  -0.71  -1.21  -4.81  -3.79  -3.77
199012  -0.13   0.31   0.03   0.12   1.06   1.38
199101   2.23   1.92   1.41   1.02   1.68   2.54
199102  11.65  10.06  11.40  15.01  12.95  12.08
199103   1.93   1.15   1.28  -2.73  -2.23  -1.70
199104   1.87   1.02   1.02   0.18   0.51   0.45
199105   0.63  -0.62  -0.07   0.72   1.18   0.61
199106  -2.95  -4.02  -4.71  -6.75  -5.36  -5.50
199107   3.57   2.48   3.59   2.76   3.18   4.13
199108   0.15   0.46   1.18  -1.20  -1.85  -1.24
199109   3.40   4.10   5.54   4.06   4.84   4.11
199110   2.42   0.62   0.65   1.58   0.98   0.96
199111  -1.99  -2.06  -1.75  -5.31  -5.26  -4.92
199112   2.41   3.65   4.22   5.00   6.45   6.43
199201   6.97   2.06   2.16  -0.66   0.01  -0.92
199202   3.15   1.20   1.93  -1.14  -1.03  -1.46
199203  -2.60  -2.56  -3.63  -6.23  -4.99  -5.16
199204  -1.63   0.61   0.90  -2.04  -0.24  -0.13
199205   4.41   5.32   5.09   6.47   5.55   5.06
199206  -3.24  -1.99  -2.13  -4.59  -3.86  -3.76
199207  -0.93  -1.77  -1.67  -2.97  -1.94  -1.24
199208  -2.04   0.14  -0.21   1.68   2.59   2.52
199209  -1.93  -1.71  -1.76  -2.76  -1.86  -1.38
199210  -2.97  -3.54  -4.33  -1.29  -2.93  -3.38
199211   2.27   1.24   1.28   1.26   1.16   2.39
199212   3.23   2.48   3.06   0.45   1.73   1.26
199301   5.10   3.76   4.47   2.23   1.55   0.61
199302   3.10   1.90   1.43   2.70   2.60   1.26
199303   7.33   7.20   7.55   7.84   7.24   7.18
199304   5.53   4.46   5.44   6.66   5.66   4.08
199305   6.83   5.89   5.65   4.11   3.53   3.24
