This file was created using the 202005 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 OP/BE portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  OP/BE is operating profitability at the last fiscal year end of the prior calendar
year divided by BE as of 6 months before formation.  Firms with negative
OP are included in any portfolio.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



    Average Value Weighted Returns -- Daily
                 Small                 Big
            Low     2    High    Low     2    High
19981127  -0.09  -0.16  -0.05  -0.15  -0.62  -0.03
19981130  -0.74  -0.82  -0.68  -1.89  -1.76  -0.70
19981201  -1.68  -1.40  -1.18  -2.73  -2.99  -1.90
19981202  -0.02  -0.01   0.29   0.49   0.99   0.62
19981203  -0.47  -1.12  -1.45  -0.76  -0.34  -1.97
19981204  -0.51  -0.50  -0.62  -1.06  -0.89  -0.20
19981207   0.58   0.32   0.24   2.49   3.03   1.48
19981208  -0.09   0.21  -0.19  -0.53  -0.63  -0.22
19981209   0.62   0.24   0.47  -0.31   0.16  -0.15
19981210   0.28   0.99   0.69   0.78   0.26   0.77
19981211  -0.77  -0.27  -0.88  -3.08  -2.38  -0.95
19981214  -1.21  -1.20  -1.02  -3.12  -1.54  -1.73
19981215  -0.23  -0.06   0.43   0.80   1.35   0.67
19981216  -0.50  -0.78  -0.22  -0.24   0.52   0.37
19981217  -0.21  -0.45   0.08   0.58   1.38   0.76
19981218   0.00   0.33   0.62   1.65   1.02   0.37
19981221  -0.59  -0.64   0.17   0.69   0.45  -0.89
19981222  -1.70  -0.38  -0.22   0.67   0.00   0.06
19981223  -0.76  -0.87  -0.66  -1.13  -1.25  -0.87
19981224   0.73   0.33   0.67   0.95   1.18   0.29
19981225   0.06   0.06   0.05   0.04   0.05   0.05
19981228  -0.74  -0.62  -0.02  -0.75  -0.93  -0.36
19981229   0.76   0.63   0.29   0.22   0.27   0.80
19981230   0.55   1.14   1.11   0.46  -0.33   0.03
19981231   0.47   0.40   0.83  -0.37   0.37   0.46
19990101  -0.07  -0.08  -0.05  -0.04  -0.04  -0.03
19990104   0.75   1.31   1.12   0.01  -0.63   1.49
19990105  -0.16  -0.04  -0.16  -0.49  -0.04  -0.54
19990106   2.07   2.22   1.77   4.11   3.13   2.05
19990107   0.27   0.90   1.26   3.81   3.45   2.44
19990108   1.33   0.58   0.12  -0.72   0.26  -1.09
19990111   0.04   0.21   0.17  -0.54  -0.28   0.97
19990112   0.59   0.73   0.23  -0.52   0.42  -0.40
19990113  -2.09  -1.42  -1.13  -3.62  -2.76  -1.72
19990114  -0.59  -0.40  -0.69  -1.43  -1.16  -1.29
19990115   0.37   0.29   0.25   0.03   0.96   1.20
19990118   0.49  -0.07   0.61   1.58   1.71   0.75
19990119   0.04   0.29   0.48  -0.15  -0.11   1.15
19990120  -0.73  -0.55   0.04  -0.35   0.53   0.49
19990121  -0.93  -1.10  -0.32  -2.37  -1.99  -0.80
19990122  -1.27  -0.99  -0.81  -2.73  -3.21  -1.03
19990125  -2.48  -2.40  -2.07  -2.59  -2.65  -1.52
19990126   0.70   0.80   0.34   0.61   0.56  -0.20
19990127   0.29   0.48   1.28   2.61   1.80   0.17
19990128  -0.80  -1.14  -0.75  -1.58  -2.09  -0.17
19990129   0.13   0.36   0.89   0.88   1.08   1.17
19990201   0.01  -0.33  -0.09   0.90   0.37   1.56
19990202   0.00   0.20   0.12  -0.89  -0.24  -0.74
19990203  -0.90  -0.29   0.23  -0.08  -0.42   0.61
19990204   1.07   0.66   0.64   0.73   0.78   1.50
19990205  -0.36  -0.22  -0.29  -2.04  -1.41  -0.48
19990208  -0.88  -0.83  -0.86  -1.19  -0.40  -0.84
19990209  -0.60  -0.52  -0.48  -0.08  -0.09  -0.73
19990210  -0.46  -0.46  -0.21  -1.47  -1.77  -1.32
19990211   1.32   1.59   1.24   2.68   1.20   0.65
19990212   0.21   0.19   0.48   0.96   1.77   1.06
19990215   0.21  -0.14   0.05  -0.08  -0.14  -0.73
19990216  -0.75  -0.78  -0.69  -0.64  -0.82  -1.59
19990217   0.16  -0.03   0.26   0.34   0.07   0.79
19990218  -0.27   0.01  -0.21  -0.47  -0.34   0.09
19990219   0.58   1.00   0.85  -0.24  -0.14   1.68
19990222  -0.46  -0.65  -0.08  -0.60   0.56   0.08
19990223  -0.12   0.00  -0.06   0.45   0.62   0.09
19990224  -0.30  -0.89   0.06   0.47   0.90  -0.05
19990225  -0.68  -0.72  -0.39  -1.38  -0.66  -1.39
19990226   0.42   0.15   0.03   0.66   0.53  -1.39
19990301   0.04  -0.13  -0.07   2.23   1.61   0.73
19990302  -0.45   0.20  -0.18  -0.82  -0.68  -0.63
19990303  -0.02  -0.14  -0.14  -0.40  -0.11   0.14
19990304   0.73   0.94   0.52   0.91   0.13   0.32
19990305   0.61   0.56   0.85   1.33   1.41   1.96
19990308   0.07  -0.10  -0.01   0.87   0.85   1.72
19990309   0.20   0.13   0.12   0.97   1.66   0.01
19990310   1.07   0.95   0.61   1.76   1.32   0.75
19990311  -0.23   0.18   0.35   0.51  -0.07   0.03
19990312   0.36   0.38   0.45   1.21   1.27   0.57
19990315  -0.53  -0.61  -0.62   0.29   0.50   0.05
19990316  -0.72  -0.27  -0.33   0.23   0.47  -0.34
19990317  -0.24  -0.10   0.48   0.11  -0.30   0.11
19990318  -0.29  -0.37   0.05  -0.91  -1.55  -0.49
19990319   1.26   0.87   0.65   2.59   2.62   0.72
19990322   1.04   0.56   0.81   1.74   0.58   1.56
19990323   0.75   0.47   0.54  -0.05   0.23   0.30
19990324  -1.02  -0.93  -0.93  -1.89  -2.01  -0.77
19990325   0.50   1.05   0.48   0.65   0.93   1.07
19990326  -0.41  -0.45   0.20  -0.89  -0.70   0.09
19990329  -0.50  -0.34  -0.28  -1.07  -0.65  -1.21
19990330   0.07   0.06  -0.20   1.27   1.69   0.20
19990331   0.99   1.11   0.55   0.57   0.46  -0.06
19990401   0.60   0.84   0.09   1.22   0.88   0.23
19990402  -0.06  -0.05  -0.02  -0.03  -0.03  -0.01
19990405   0.69   0.83   0.29   0.11   0.13  -0.20
19990406   0.32   1.03   0.02   2.82   0.45   0.57
19990407   0.45  -0.20  -0.18   2.61   2.00   0.35
19990408   0.67   1.26   1.26   1.53   0.20   0.67
19990409   1.22   1.32   1.18   1.37   1.79   1.41
19990412   0.20   1.07  -0.50  -0.83  -0.54  -0.16
19990413   1.88   1.35   1.38   1.42   1.17   1.60
19990414   1.57   1.52   1.02  -0.51   0.14   0.49
19990415   1.70   1.87   1.52   1.06   1.18   1.62
19990416   2.20   2.05   1.27   2.50   3.80   1.76
19990419   1.86   1.62   1.02   3.04   2.33   2.08
19990420  -0.46  -0.50  -0.88  -2.71  -3.00  -2.02
19990421   2.30   2.81   2.55   0.75   0.66   0.34
19990422   2.57   1.58   2.32   2.63   2.24   3.05
19990423   0.52   0.62   0.36  -0.57   0.04   0.43
19990426   0.29   0.66   0.86   0.83   0.85   0.37
19990427  -0.07   0.33   0.43   1.34   1.04   0.96
19990428  -0.32  -0.11   0.92  -0.55  -1.06  -1.05
19990429   0.45   0.22   0.69  -0.52  -0.13   0.25
19990430   2.61   2.27   2.18   1.30   2.00   0.87
19990503   2.42   1.40   1.87   0.36   0.18  -0.47
19990504   3.47   0.84   1.14   1.35   1.29   0.00
19990505   2.26   1.58   1.52   1.45   0.99  -0.69
19990506   0.90   1.73   1.29   1.54   0.91   0.06
19990507  -2.18  -1.79  -1.93  -2.90  -2.80  -2.65
19990510  -1.34  -1.53  -1.28  -1.43  -0.24   0.28
19990511   0.69   0.71   0.92   0.15  -0.90  -0.02
19990512   0.87   0.57   0.32   1.17   1.36  -0.25
19990513  -0.68  -0.74  -0.01  -0.51  -0.60   1.73
19990514   0.72   0.67   0.74   0.08  -0.90  -0.13
19990517  -0.83  -1.08  -1.49  -1.71  -1.36  -1.94
19990518   1.08   0.70   0.90   0.74   1.53   0.67
19990519  -0.47  -0.73  -0.56  -1.78  -1.52  -1.36
19990520  -0.14   0.21   0.36  -0.81  -0.13  -0.54
19990521   0.67   0.83   0.85  -1.34  -0.46   0.17
19990524   1.53   1.83   0.94   0.61   0.73   0.02
19990525  -0.95  -1.12  -1.55  -1.36  -2.05  -2.70
19990526   0.38   0.78   0.11   0.65   0.01  -0.05
19990527   0.19   0.47   0.33  -0.12  -0.59   0.04
19990528  -0.65  -0.02  -0.07  -0.55  -0.99  -0.49
19990531   0.63   1.70   1.45  -0.19  -0.09   0.06
19990601   0.54  -0.21  -0.41   1.08   0.68   0.20
19990602  -0.50  -0.08  -0.31   0.62   0.39   0.38
19990603  -0.26  -0.37   0.12   1.18   0.42   0.98
19990604  -0.23  -0.13   0.51   0.11  -0.09   0.53
19990607   0.51   0.79   1.03   1.64   2.06   0.32
19990608   1.57   0.83   2.10   0.72   0.99   1.33
19990609   0.77   1.57   2.94   0.05   0.72   0.44
19990610   0.55   0.47   0.18   0.56   0.06  -0.24
19990611   1.20   1.87   0.45   0.77   1.24   0.31
19990614   0.80   1.18   0.12   0.05  -0.38  -0.33
19990615  -0.49  -1.36  -1.22  -0.82  -0.48  -0.73
19990616   0.87   1.49   1.08   0.91   0.93   0.70
19990617   0.77   1.54   2.01   1.10   0.65   1.57
19990618   0.12   0.12  -0.05  -0.52  -0.42  -0.07
19990621   2.27   2.46   1.91   2.66   2.20   0.08
19990622   1.18   1.06   1.30   1.66   0.68   0.88
19990623   2.57   1.42   1.27   0.53   0.18   0.10
19990624   0.71   0.64  -0.23  -0.71  -0.72  -0.72
19990625  -0.23   0.16   0.52   0.12   0.08   0.27
19990628   0.54   0.34  -0.02   0.16   0.11   0.78
19990629   1.25   1.56   0.44   0.28  -0.12  -0.33
19990630   0.95   0.65   1.05  -0.90  -0.32   0.09
19990701   1.00   0.87   1.29   1.06   0.73   1.01
19990702   1.18   0.93   0.77   3.02   2.66   0.76
19990705  -0.53  -1.06  -0.85   0.83   0.87   1.22
19990706  -2.15  -2.45  -1.70  -1.48  -0.74  -0.70
19990707  -1.29  -1.06  -0.42  -1.23  -0.44  -0.59
19990708   0.94   1.42   1.00   0.38   0.32   0.30
19990709   1.34   1.62   1.29   0.63   0.00  -1.29
19990712  -2.00  -1.59  -1.50  -1.07  -0.79   0.04
19990713  -0.44  -1.31  -0.94  -1.11  -0.44  -0.20
19990714  -0.52  -0.50  -0.39  -1.24  -1.02  -0.97
19990715  -0.39  -0.54  -0.51   0.23   0.67   0.98
19990716  -2.02  -1.65  -1.53  -2.87  -1.10  -0.72
19990719  -1.46  -1.25  -0.62  -0.85  -0.04  -0.05
19990720   1.12   1.68   1.26   1.15   0.86   0.50
19990721  -0.82  -0.99  -0.98  -0.86  -0.73  -0.36
