This file was created by CMPT_ME_BEME_OP_INV_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
               Small                 Big         
        LoINV     2   HiINV  LoINV     2   HiINV 
198702   7.5224   6.4949   7.9402   1.1624   2.8752   6.6076
198703   4.1510   1.4607   0.9019   5.6866   1.2073   0.9615
198704  -1.8852  -3.1293  -3.5701  -0.4856  -2.3779  -1.1769
198705   0.6265  -0.3231  -0.1799   1.6533   0.1775   0.0144
198706   2.4797   2.5131   2.2950   5.0745   5.3044   3.6707
198707   5.0890   3.3072   2.2816   5.4123   3.3791   4.8737
198708   1.0569   3.6181   3.6953   3.3381   3.6943   4.3639
198709  -0.7621  -1.5647  -2.6890  -1.3828  -2.3227  -3.2417
198710 -29.9308 -26.6350 -32.1253 -21.5238 -20.2378 -23.7554
198711  -4.8033  -3.1417  -6.6046  -9.4558  -7.6471  -8.4603
198712   5.6898   6.5948   7.9481   6.0324   6.4355   8.5004
198801   5.7441   4.2285   3.1687   5.9039   3.9067   4.2544
198802   7.3540   8.0258   7.9351   3.7846   3.7182   4.9025
198803   4.5651   3.1955   3.0125  -1.0527  -3.6048  -3.3611
198804   3.0689   1.9891   0.7886   1.7537   0.4878   0.1984
198805  -1.7603  -1.9737  -2.4548  -0.4303   0.6116   0.0851
198806   5.0776   7.3476   7.3477   1.6692   5.2882   5.9830
198807  -0.2161  -0.4203  -1.9766  -0.8089  -0.7028  -1.8119
198808  -2.1523  -2.3512  -3.8897  -2.6875  -2.9121  -4.1527
198809   2.2538   3.2298   2.1141   3.0007   3.9165   4.4463
198810  -0.7697  -0.6687  -1.1453   3.4115   1.4735   1.8709
198811  -2.7352  -3.1539  -4.0858  -0.8772  -2.1949  -2.4728
198812   4.1669   2.8992   3.7143   0.8111   1.5644   2.2893
198901   5.2013   3.9760   4.7862   6.8705   6.0873   7.4798
198902   1.1918   1.0712  -0.1411  -0.7496  -2.6685  -3.0434
198903   2.9284   2.7584   2.6863   2.5796   1.9695   1.2153
198904   3.7585   3.8641   4.8577   4.8761   4.9352   5.0352
198905   3.8609   3.2345   4.2156   3.6681   3.7893   3.5080
198906  -1.3596  -0.7006  -3.0612  -0.6091  -0.4510  -1.3066
198907   3.7908   3.5604   4.5059   8.3179   7.8159   8.7231
198908   1.8114   2.6219   2.3405   1.3658   1.2937   2.3912
198909  -0.3286   0.0466   0.5503   0.6723  -0.7483  -0.7028
198910  -6.8782  -5.4050  -5.9608  -1.7761  -3.4329  -2.6511
198911   1.4301   0.0034   0.2525   2.3045   1.6134   0.8143
198912  -0.6068   0.0772  -0.3711   3.7714   1.5106   0.7433
199001  -7.3721  -7.9766  -9.8250  -7.1806  -7.2275  -7.2879
199002   2.1042   1.6200   3.7658   1.2499   0.9426   1.0503
199003   3.2721   2.9937   4.5554   1.8034   1.7364   2.7215
199004  -3.9394  -2.4802  -3.7874  -3.9365  -2.6815  -2.1791
199005   6.1195   5.8397   7.8669   7.9115   9.0047   9.5662
199006   1.3061   0.4966   0.2568  -2.1857  -0.6278  -0.2165
199007  -3.4784  -3.3237  -5.4362   1.3473  -0.8640  -2.6357
199008 -12.3169 -11.7440 -15.0279  -7.6351  -9.3622 -10.6781
199009  -8.6221  -7.9471 -10.8055  -3.2362  -4.1911  -8.3808
199010  -7.9482  -4.5287  -6.4335  -2.0800   0.3579  -2.3850
199011   4.4097   5.2195   9.1472   4.2924   5.6923   9.3424
199012   1.8931   3.9223   3.5368   1.8737   2.1163   4.3366
199101   8.7408   6.6395   9.4673   0.6968   3.9589   8.3419
199102  12.1462   9.5056  11.4687   6.3254   6.5897   7.5516
199103   6.9036   4.1876   7.6360   1.7306   2.4698   3.0874
199104   0.5386   0.9190   0.0437   1.0070  -0.4595   0.3143
199105   3.8720   3.5227   4.4047   0.9272   3.4796   5.5523
199106  -5.3373  -2.7795  -5.2698  -3.9732  -4.6469  -5.2318
199107   2.9887   2.2274   4.5887   4.0650   3.9545   5.5115
199108   3.8309   2.8583   4.0831   2.2112   1.3621   3.3176
199109   0.0815  -0.0663   1.0946  -0.8288  -1.1468  -2.1292
199110   2.2236   1.4954   3.3097   1.4385   1.5220   1.2011
199111  -4.3160  -4.1270  -5.3237  -3.4223  -5.5004  -2.4291
199112   6.9953   7.3743   9.0819   9.5840   9.0041  13.8120
199201  11.5507   7.4552   6.9860   0.2718  -2.3422  -1.2439
199202   4.1940   3.0172   2.0268   2.1459   0.8188   0.4805
