This file was created using the 202006 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 2 ME portfolios
and 3 BE/ME portfolios in Europe.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
               Small                 Big
          Low     2    High    Low     2    High
200902  -4.67  -6.18  -7.17  -7.71 -10.21 -13.79
200903   6.47   4.07   4.72   6.16   5.92  10.73
200904  16.67  15.15  16.37   8.41  12.23  22.20
200905  14.84  13.53  13.20  12.50  13.72  11.41
200906   0.59  -0.18  -1.18  -0.92  -2.99  -1.56
200907   6.40   6.36   8.16   8.30  10.27  14.11
200908   4.57   7.34  11.50   2.70   4.35  10.81
200909   6.32   6.97   7.68   4.92   5.19   5.84
200910   0.08  -0.50  -1.30  -0.03  -1.39  -5.22
200911   1.58   1.05   0.54   3.59   3.57   2.16
200912  -0.42  -0.77  -1.17   1.68   1.44  -0.03
201001  -0.83  -1.28  -1.15  -3.78  -6.41  -7.18
201002  -2.37  -2.43  -3.55  -0.78  -2.25  -3.18
201003   3.95   5.78   7.23   4.48   6.14   9.73
201004   1.49   0.87   0.78  -2.87  -0.81  -2.75
201005 -11.12 -11.92 -14.02 -10.07 -12.01 -14.37
201006  -0.65   0.31  -2.16   1.23  -2.38  -1.69
201007  10.18  10.27  11.31   9.18  11.43  17.29
201008  -4.24  -4.13  -4.86  -1.87  -4.39  -6.66
201009  13.06  12.97  11.37  10.64  12.04  11.76
201010   5.61   5.45   5.23   4.62   5.02   5.15
201011  -7.39  -6.09  -8.39  -5.95  -7.56 -11.88
201012  10.38  11.89  11.10   7.70   9.50   9.20
201101   2.43   3.55   4.93   0.18   3.48   8.72
201102   1.66   1.90   2.57   3.04   3.03   3.54
201103   1.97   2.16   1.00   0.98  -0.54  -1.70
201104   7.21   6.77   7.02   8.76   8.27   7.59
201105  -2.50  -2.66  -3.49  -1.00  -3.57  -4.58
201106  -3.17  -3.24  -3.23  -1.80  -2.13  -1.52
201107  -2.23  -2.62  -4.35  -0.76  -2.48  -6.75
201108  -8.82  -9.32 -10.03  -6.86 -10.35 -13.13
201109 -10.97 -13.00 -13.80 -11.02 -11.69 -11.78
201110   9.06   7.65   6.82  10.95  11.86  11.00
201111  -5.88  -7.15  -8.59  -3.06  -3.89  -6.87
201112  -3.12  -2.54  -3.79  -1.68  -1.81  -2.95
201201   8.55   8.46   7.81   4.46   4.90   7.09
201202   8.19   7.51   7.49   5.96   6.74   5.93
201203   0.84   0.90   0.15   1.37  -0.45  -1.07
201204  -0.52  -0.64  -2.68  -0.13  -1.32  -6.33
201205 -11.41 -12.09 -13.00 -10.40 -12.83 -13.76
201206   2.97   3.05   4.03   6.12   6.47  11.08
201207   0.12  -0.69  -1.50   2.02   1.06  -1.50
201208   4.06   3.95   6.00   2.95   3.80   7.75
201209   4.72   4.37   6.02   2.69   2.36   5.67
201210   1.03   1.00   1.66   0.73   1.01   4.18
201211   0.15   0.35  -0.08   3.49   1.58   2.75
201212   4.66   5.03   7.12   1.44   3.31   5.15
201301   4.16   6.82   8.99   4.44   6.17   8.08
201302   0.13  -0.22  -2.08  -0.56  -2.64  -5.24
201303  -0.25  -1.50  -2.00   2.16   0.32  -4.80
201304   1.93   2.47   4.45   2.74   3.66   7.33
201305   1.98   1.55   3.10  -1.10   0.94   3.55
201306  -1.92  -2.69  -3.60  -3.61  -4.63  -6.83
201307   5.37   6.36   6.76   5.95   7.28  10.10
201308   1.79   1.18   2.35  -0.98  -1.63  -0.40
201309   6.85   7.22   7.72   5.87   7.67   7.61
201310   2.06   4.25   6.51   2.41   4.13   6.74
201311   2.85   2.55   0.96   0.57   1.82   1.34
201312   3.08   2.67   2.79   2.28   2.51   2.14
201401  -1.20   0.29   1.29  -4.68  -3.46  -2.21
201402   7.39   7.25   8.68   7.46   7.16   7.44
201403  -1.85  -0.44   1.38  -0.80  -0.55  -0.46
201404  -0.70  -0.10   0.38   2.10   2.20   1.93
201405  -0.06   0.31   0.21   1.30   1.05   0.19
201406   0.09   0.65  -0.83   1.01  -0.02  -1.31
201407  -4.42  -4.89  -4.16  -3.91  -4.74  -3.63
201408  -0.32  -0.83  -1.44   0.59   0.01  -0.26
