This file was created using the 202006 Bloomberg database.

Missing data are indicated by -99.99.



,Mkt-RF,SMB,HML,RF
2010   ,18.00   ,16.52   ,-1.18    ,0.12
2011   ,-0.87   ,-6.91   ,-5.67    ,0.04
2012   ,15.76   ,-1.24    ,7.32    ,0.06
2013   ,32.47    ,2.90   ,-1.10    ,0.02
2014   ,10.69   ,-8.86   ,-4.72    ,0.02
2015   ,-1.63   ,-6.82   ,-9.30    ,0.02
2016   ,13.04    ,6.36   ,21.90    ,0.20
2017   ,20.72   ,-2.92  ,-20.24    ,0.80
2018   ,-8.06   ,-6.65   ,-9.90    ,1.81
2019   ,28.18   ,-3.96  ,-12.00    ,2.14
