This file was created by CMPT_ME_BEME_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for the intersections of  2
ME portfolios and  3 E/P portfolios.   

The portfolios are constructed at the end of Jun.  ME is market cap at the end
of Jun.  E/P is is earnings before extraordinary at the last fiscal year end of the prior calendar 
year divided by ME at the end of December of the prior year.  Firms with negative or zero
E/P are not included in any portfolio.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weight Average Returns -- Monthly
               Small                 Big         
          Low     2    High    Low     2    High 
197403  -0.82   0.53   0.12  -1.93  -3.12  -2.81
197404  -6.58  -4.82  -4.38  -3.39  -5.26  -6.56
197405  -7.92  -7.27  -6.61  -1.65  -4.91  -5.51
197406  -3.15  -2.03  -1.49  -1.50  -2.26  -4.04
197407  -6.56  -3.82  -3.51 -10.27  -2.37  -7.94
197408  -8.97  -8.30  -7.47 -10.16  -6.55  -5.25
197409 -12.01  -7.26  -7.49 -14.02  -6.46  -8.90
197410  13.95   8.22   7.84  21.86  13.82   1.89
197411  -4.69  -4.61  -5.45  -3.94  -3.59  -4.94
197412  -7.08  -5.42  -7.16  -3.57  -0.14  -0.82
197501  24.55  26.64  29.31  10.25  15.93  23.22
197502   7.38   4.53   1.97   8.51   3.20   1.65
197503   7.44   5.86   9.49   3.10   1.32   6.60
197504   6.52   4.08   2.57   5.76   2.92   4.50
197505  10.35   6.57   6.94   5.35   5.67   5.82
197506   6.73   6.88   6.74   4.05   6.28   8.76
197507  -3.08  -2.10  -2.66  -7.60  -4.72  -4.27
197508  -4.28  -4.34  -5.98  -2.72  -0.98  -0.46
197509  -3.90  -3.67  -2.76  -4.15  -2.47  -2.98
197510   1.65   2.85   2.61   7.85   4.07   2.98
197511   1.03   2.76   3.78   3.64   2.22   2.53
197512  -1.70  -0.55  -0.79  -2.12   0.76   0.65
197601  17.10  16.79  22.40  10.90  12.18  18.92
197602   7.14   7.40  10.36  -1.15   0.65   2.08
197603   1.53   1.07   1.65   2.97   2.78   2.32
197604  -1.33  -0.35  -1.52  -1.79  -0.04   0.53
197605  -2.04  -1.48  -2.69  -1.85   1.35  -0.04
197606   3.50   3.87   3.55   4.58   4.47   6.28
197607  -0.85   0.89   0.27  -1.33   0.27  -0.93
197608  -3.30  -1.16  -1.35  -0.03   0.78  -1.33
197609   2.63   3.23   2.84   2.11   2.96   3.45
197610  -3.17  -1.45  -1.78  -2.37  -1.73  -1.83
197611   4.16   3.41   3.55  -0.82   1.58   2.48
197612   9.61   9.43   9.66   4.41   6.41   8.77
197701   0.52   1.86   3.01  -7.23  -1.81   0.08
197702  -1.70  -0.87   0.22  -1.75  -1.60  -2.20
197703  -0.18   0.63   0.70  -1.89  -0.72   0.55
197704   0.62   1.06   2.24  -1.43   1.86   2.61
197705  -0.21   0.03   0.70  -1.97  -0.43  -0.34
197706   7.95   6.05   6.52   6.09   3.60   4.74
197707  -0.77   0.67   0.49  -1.24  -1.47  -2.39
197708   1.01  -0.61  -1.33   0.70  -3.19  -2.92
197709   0.98   1.19   2.00  -1.24   1.06   0.95
197710  -3.28  -2.13  -1.55  -4.48  -3.65  -3.81
197711   8.34   7.13   8.26   4.26   3.43   5.55
197712   3.39   1.49   1.76   0.37   0.75   0.28
197801  -3.67  -3.29  -2.48  -5.99  -5.99  -4.98
197802   1.58   2.18   2.67  -3.16   0.26  -0.26
197803   7.13   6.33   6.49   2.06   3.37   4.47
197804   9.07   7.79   7.56  11.47   6.11   6.81
197805   7.73   5.43   5.76   2.08   0.91   2.80
197806   0.71   0.03   0.06  -1.18  -1.84  -0.80
197807   6.83   5.51   5.27   7.05   3.96   6.44
197808   9.18   7.69   8.40   3.39   3.98   3.89
197809  -2.16  -0.38  -0.75  -2.51   0.93  -0.88
197810 -23.42 -17.99 -18.49  -9.64  -8.78 -12.87
197811   9.36   4.73   4.67   2.97   3.29   3.02
197812   3.53   1.51   2.14   2.94   0.51   0.86
197901   8.46   7.89   9.10   3.68   4.57   5.94
197902  -2.65  -2.33  -2.63  -3.62  -2.27  -3.50
197903  11.71   8.12   8.82   5.66   5.53   7.93
197904   1.83   3.27   2.80   0.07   0.64   0.90
197905  -2.03  -1.23  -1.00  -1.93  -1.43  -0.72
197906   5.96   5.72   5.38   2.81   5.57   5.70
197907   2.40   3.09   4.17   0.23   1.93   2.69
197908   9.03   7.23   7.77   6.60   5.64   5.69
197909   1.37  -0.62  -1.80  -1.21   0.96  -0.35
197910  -9.28 -10.09 -11.43  -6.64  -5.74  -9.48
197911  10.72   6.93   6.80   6.70   5.61   4.27
197912   7.91   5.27   5.44   2.82   1.29   2.18
198001   8.38   6.69   8.37   5.21   6.08   5.95
198002   0.18  -2.74  -3.68  -2.88   3.05  -4.82
198003 -19.57 -15.82 -16.76  -9.42 -11.11  -9.41
198004   6.44   6.07   5.71   3.62   6.14   3.92
198005   8.06   7.35   8.85   5.74   5.33   6.85
198006   4.72   4.82   4.87   3.18   3.45   2.39
198007  13.32   9.51   8.32  10.33   4.76   4.48
198008   8.84   4.62   3.80   2.21   1.26   2.20
198009   4.81   2.90   2.38   4.18   2.66   1.87
198010   5.68   3.14   2.73   1.74   1.77   2.05
198011  11.76   4.62   3.90  12.17  10.38  11.91
198012  -5.51  -1.80  -0.44  -2.27  -2.73  -4.85
198101  -3.62   1.18   1.21  -6.43  -3.69  -3.69
198102  -0.13   1.98   2.16   2.30   2.18   1.06
198103   8.10   8.28   7.17   3.97   4.14   3.34
198104   2.67   3.47   4.31  -1.97  -2.38   0.31
198105   5.00   2.75   2.26   1.31   0.66   0.00
198106  -5.17   0.19   1.68  -3.90   1.21   1.08
198107  -2.65  -2.18  -1.89   1.25  -0.15  -0.31
198108 -10.19  -5.70  -4.46  -6.99  -5.90  -3.32
198109 -10.79  -6.20  -4.40  -6.77  -5.84  -3.08
198110  10.38   7.18   6.25   7.96   6.58   4.03
198111   1.11   4.58   5.33   4.39   4.24   4.95
198112  -2.23  -0.78  -0.93  -3.16  -2.43  -3.45
198201  -4.67  -3.20  -2.04  -2.31  -2.89  -0.94
198202  -7.68  -3.10  -0.97  -7.50  -4.96  -1.93
198203  -2.69  -0.10   0.81  -3.14  -0.09   0.80
198204   6.40   5.94   4.60   6.62   4.23   1.89
198205  -3.62  -1.78  -1.47  -4.01  -3.15  -1.46
198206  -4.12  -1.61  -1.26  -3.22  -0.49  -2.38
198207  -2.22  -0.02  -1.32  -0.29  -2.57  -4.00
198208   8.37   8.20   8.86  11.83  12.13  13.11
198209   2.83   4.15   5.90   2.04   1.20   1.60
198210  16.18  12.35  11.62  13.22  11.31   9.21
198211  10.25   8.36   7.98   7.39   3.91   2.01
198212   1.49   1.59   0.55   1.86   0.13   1.99
198301   9.89   4.77   4.79   2.85   4.39   3.70
198302   5.31   6.13   5.74   2.91   2.43   3.52
198303   3.00   5.80   6.38   2.86   3.19   4.23
198304   7.52   7.27   8.15   6.29   7.62   7.56
198305   8.35   5.67   4.01   0.24  -0.48   0.29
198306   5.61   4.60   2.87   5.86   3.23   1.04
198307  -5.45  -1.31   2.34  -5.08  -3.37  -1.99
198308  -4.97  -2.49   0.04  -1.56   0.61   3.90
198309   1.09   2.73   3.83   1.94   2.53   0.66
198310  -8.27  -4.60  -2.52  -4.97  -0.75  -0.71
198311   5.89   4.53   3.64   3.72   2.20   1.45
198312  -2.61  -0.33  -0.32  -1.31  -0.72  -0.64
198401  -4.27  -1.19   1.34  -5.93  -2.88   5.10
198402  -7.15  -4.70  -3.52  -5.70  -4.26  -1.05
198403   0.27   1.14   2.08   1.11   2.49  -0.43
198404  -1.43   1.67  -0.26   0.81   0.31   1.73
198405  -5.74  -4.11  -4.41  -6.41  -4.24  -4.53
198406   3.57   3.62   1.66   4.46   2.85   2.58
198407  -5.62  -3.01  -0.75  -1.91  -0.76  -2.14
198408  13.88  11.06   8.77  12.49  10.88  10.99
198409  -3.31   1.26   3.58  -3.90  -0.87   3.40
198410  -2.83  -0.81   2.87  -0.58   0.61   1.00
198411  -3.87  -1.54   1.74  -2.74  -1.15   0.31
198412   1.99   2.46   2.80   2.23   2.72   2.64
198501  14.22  11.96   8.62  11.02   8.62   5.80
198502   2.37   3.60   2.00  -0.38   1.89   2.63
198503  -4.07  -0.96   1.58  -3.16  -0.18   1.84
198504  -2.48  -0.14   2.62  -1.91  -1.07   1.59
198505   3.49   5.13   4.42   6.21   7.15   5.07
198506   0.51   1.97   5.16   2.38   1.08   2.13
198507   2.91   2.78   0.89  -0.92   0.56  -2.36
198508  -1.94  -0.75   0.95  -1.36  -0.62   0.58
198509  -7.21  -4.50  -3.45  -4.34  -2.76  -4.00
198510   2.72   3.61   4.70   4.66   4.43   5.83
198511   8.16   6.89   6.97   8.99   7.59   4.94
198512   4.72   4.50   4.31   4.21   5.08   4.56
198601   1.81   1.81   2.87   0.99  -0.01   1.74
198602   6.37   7.48   9.43   8.77   6.96   8.29
198603   3.69   5.58   5.14   5.22   5.81   5.62
198604   2.40   1.48   0.83  -0.49  -0.17  -2.98
198605   3.63   4.91   4.13   6.47   5.17   5.03
198606  -0.49   0.72   2.69   1.07   1.91   2.42
198607 -10.76  -8.60  -4.60  -6.39  -7.11  -2.10
198608   2.83   4.10   2.99   6.23   6.38   8.48
198609  -7.68  -5.91  -5.32 -10.19  -8.02  -8.27
198610   4.29   3.11   3.02   7.21   5.22   4.60
198611   0.28   0.47  -0.03   2.54   2.10   1.45
198612  -2.78  -1.79  -2.82  -1.89  -3.18  -2.87
198701  12.95  10.87   9.09  15.92  12.19  12.02
198702   9.03   6.69   5.96   8.02   5.34   0.18
