This file was created by CMPT_VAR_RETS using the 202006 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197009,    2.29,    4.37,    7.05,   10.35,   17.80,    1.82,    3.54,    3.66,    5.35,    6.26,    8.06,    9.64,   11.20,   15.23,   20.57
197010,   -0.43,   -0.87,   -3.25,   -6.35,  -10.12,   -0.56,   -0.06,   -0.16,   -1.55,   -2.90,   -3.68,   -4.76,   -8.48,   -8.54,  -11.85
197011,    5.99,    4.59,    4.81,    3.76,   -0.98,    6.30,    5.07,    4.33,    4.91,    4.68,    4.95,    3.78,    3.73,    0.58,   -2.53
197012,    5.36,    7.26,    6.78,    8.70,    6.38,    5.46,    5.08,    6.63,    7.99,    6.77,    6.79,    7.65,   10.44,    9.03,    3.58
197101,    3.46,    5.97,    6.98,   11.47,   13.24,    2.86,    5.30,    4.23,    7.76,    5.83,    8.14,   10.24,   13.14,   11.62,   15.04
197102,    1.11,    1.92,    2.77,    2.96,    4.13,    1.00,    1.43,    2.03,    1.76,    1.79,    4.22,    3.24,    2.62,    3.29,    4.97
197103,    4.13,    3.76,    5.77,    5.58,    6.03,    4.19,    3.99,    3.64,    3.92,    5.80,    5.74,    4.77,    6.91,    6.17,    5.88
197104,    3.19,    2.86,    4.83,    5.58,    3.34,    2.69,    4.69,    2.02,    3.91,    4.47,    5.22,    5.13,    6.19,    3.33,    3.35
197105,   -3.96,   -2.77,   -2.61,   -4.52,   -5.65,   -4.22,   -3.09,   -2.96,   -2.55,   -2.99,   -1.96,   -3.93,   -5.40,   -5.13,   -6.18
197106,    0.80,    0.96,    0.22,   -1.47,   -3.81,    0.43,    1.73,    0.49,    1.69,    0.93,   -0.69,   -1.40,   -1.56,   -3.65,   -3.97
197107,   -3.31,   -3.73,   -4.24,   -6.50,   -9.06,   -3.30,   -3.33,   -3.15,   -4.57,   -4.06,   -4.51,   -6.50,   -6.49,   -8.39,   -9.77
197108,    3.87,    3.65,    4.86,    6.69,    5.98,    3.96,    3.68,    3.99,    3.19,    3.96,    5.79,    6.96,    6.29,    8.40,    3.90
197109,    0.25,   -1.21,   -0.67,   -1.58,   -1.36,    0.67,   -0.88,   -1.83,   -0.45,   -0.60,   -0.77,   -1.98,   -0.90,    0.06,   -2.63
197110,   -2.57,   -3.87,   -5.79,   -7.15,   -7.82,   -1.58,   -4.75,   -3.43,   -4.81,   -5.49,   -6.32,   -6.63,   -7.77,   -5.94,   -9.52
197111,    0.75,   -0.10,   -0.66,   -1.45,   -4.19,    0.96,    0.36,   -0.06,   -0.16,    0.35,   -2.45,   -0.45,   -2.96,   -4.28,   -4.11
197112,    8.30,    8.61,    9.51,   12.31,   13.77,    7.89,    9.46,    8.68,    8.50,    9.38,    9.69,   11.45,   13.56,   13.90,   13.66
197201,    1.89,    1.04,    4.44,    5.43,   10.39,    2.41,    0.85,    0.48,    1.78,    2.97,    6.21,    4.05,    7.13,    8.65,   12.38
197202,    2.59,    3.14,    3.85,    4.49,    4.08,    1.50,    4.70,    2.25,    4.46,    4.68,    3.10,    4.76,    4.15,    4.37,    3.77
197203,    1.57,    0.43,   -0.02,   -0.21,   -0.87,    1.82,    0.96,    0.53,    0.29,   -0.78,    0.95,   -0.08,   -0.35,   -1.02,   -0.72
197204,    0.12,    1.51,    0.68,    1.65,   -0.79,   -0.36,    1.13,    2.08,    0.45,    0.87,    0.35,    0.03,    3.08,    0.67,   -2.20
197205,    2.30,    1.82,    0.61,    0.45,   -1.49,    2.42,    2.03,    2.75,    0.57,    0.88,    0.02,    0.78,    0.10,   -0.11,   -2.78
197206,   -1.42,   -1.74,   -3.38,   -5.00,   -3.34,   -1.14,   -2.14,   -1.36,   -2.16,   -3.68,   -3.00,   -5.48,   -4.49,   -3.62,   -3.05
197207,    1.24,   -0.65,   -2.37,   -4.90,   -5.66,    1.37,    0.93,   -1.12,   -0.06,   -2.31,   -2.44,   -5.04,   -4.71,   -3.58,   -7.82
197208,    3.68,    4.43,    3.62,    3.31,   -0.02,    3.37,    4.51,    4.66,    4.09,    3.54,    3.72,    3.78,    2.65,    1.21,   -1.25
197209,    0.25,   -0.75,   -1.21,   -3.03,   -5.06,   -0.02,    0.72,    0.05,   -1.59,   -1.11,   -1.37,   -3.05,   -2.99,   -4.35,   -5.86
197210,    1.26,    1.45,    0.79,    0.37,   -3.05,   -0.22,    3.32,    1.57,    1.26,    1.35,    0.03,    1.69,   -1.27,   -1.39,   -4.68
197211,    4.01,    6.02,    6.87,    5.35,    5.66,    4.27,    3.43,    6.28,    5.77,    6.21,    8.16,    4.54,    6.18,    7.03,    4.29
197212,    2.01,    0.89,   -0.10,   -2.03,   -2.35,    2.45,    1.07,    1.38,    0.17,   -0.22,    0.06,   -1.58,   -2.43,   -1.06,   -3.67
197301,   -0.28,   -3.97,   -6.32,   -7.16,   -9.56,    0.66,   -2.26,   -2.89,   -5.71,   -6.56,   -5.98,   -6.01,   -8.45,   -8.33,  -10.93
197302,   -3.10,   -4.28,   -5.73,   -6.72,  -10.01,   -3.09,   -3.11,   -3.27,   -5.57,   -5.17,   -6.50,   -7.35,   -6.15,   -9.22,  -10.83
197303,   -0.45,   -0.50,   -1.06,   -1.19,   -2.83,   -0.25,   -0.97,    0.70,   -1.84,   -1.32,   -0.75,   -0.16,   -2.86,   -1.97,   -3.96
197304,   -3.29,   -5.13,   -7.73,   -7.98,  -10.92,   -2.85,   -4.34,   -5.07,   -5.20,   -8.03,   -7.42,   -6.15,  -10.25,   -9.99,  -11.60
197305,   -0.76,   -2.80,   -2.69,   -5.61,  -10.33,   -1.30,    0.28,   -2.70,   -2.92,   -2.39,   -3.01,   -5.05,   -6.14,   -9.84,  -10.71
197306,    0.05,   -1.27,   -2.64,   -3.44,   -4.74,   -0.40,    0.79,   -0.77,   -2.05,   -3.70,   -1.11,   -3.16,   -3.76,   -5.61,   -3.86
197307,    2.14,    5.74,   12.30,   13.57,   17.83,    1.46,    3.81,    4.19,    7.82,   12.66,   11.78,   13.27,   13.98,   16.57,   19.18
197308,   -3.47,   -2.69,   -2.29,   -1.75,   -6.30,   -3.90,   -2.26,   -3.19,   -1.90,   -0.37,   -4.59,   -1.01,   -2.70,   -4.01,   -8.84
197309,    2.53,    7.90,    7.93,    9.58,   11.30,    1.64,    5.20,    6.56,   10.17,    6.96,    9.42,    9.85,    9.20,   12.34,   10.32
197310,   -0.37,    1.75,   -1.91,   -1.38,   -3.41,   -0.78,    0.49,    2.66,    0.13,   -1.45,   -2.55,    0.51,   -3.94,   -3.51,   -3.33
197311,   -9.79,  -11.66,  -14.50,  -18.29,  -21.52,   -9.90,   -9.59,  -12.24,  -11.13,  -13.94,  -15.45,  -18.43,  -18.13,  -22.46,  -20.60
197312,    1.58,    1.98,    0.33,   -1.33,   -1.78,    0.98,    3.06,    1.80,    2.28,    0.67,   -0.21,   -0.11,   -3.05,   -0.84,   -2.73
197401,   -0.44,   -1.10,    1.35,    5.42,    9.72,   -0.49,   -0.31,   -1.90,    0.06,    0.41,    2.38,    2.43,   10.05,    6.92,   12.66
197402,    0.14,   -0.09,    0.05,    0.81,   -0.42,   -0.34,    1.24,    0.48,   -0.86,   -0.17,    0.34,    0.17,    1.53,   -0.23,   -0.63
197403,   -2.13,   -2.67,   -1.55,   -3.41,   -3.37,   -1.94,   -2.51,   -2.64,   -2.73,   -1.57,   -1.51,   -4.52,   -1.87,   -5.30,   -0.75
197404,   -4.18,   -4.43,   -4.81,   -6.32,   -7.42,   -4.18,   -4.16,   -4.27,   -4.65,   -3.83,   -6.18,   -5.55,   -7.43,   -6.37,   -8.64
197405,   -2.64,   -4.46,   -5.21,   -5.92,   -9.49,   -1.80,   -5.04,   -4.90,   -3.88,   -4.39,   -6.43,   -4.03,   -8.67,   -9.49,   -9.49
197406,   -1.48,   -1.85,   -3.86,   -4.00,   -5.95,   -0.84,   -3.56,   -0.19,   -4.00,   -4.17,   -3.56,   -2.97,   -5.65,   -4.82,   -7.08
197407,   -7.87,   -7.84,   -6.05,   -5.04,   -6.27,   -8.60,   -5.43,   -8.70,   -6.48,   -6.32,   -5.63,   -5.41,   -4.64,   -7.46,   -4.29
197408,   -8.01,  -10.41,   -8.70,   -9.73,  -10.40,   -7.58,   -9.25,   -9.72,  -11.42,   -9.30,   -8.08,  -10.10,   -9.22,   -9.99,  -10.95
197409,  -11.19,   -9.96,   -9.03,  -12.32,  -11.79,  -10.99,  -11.71,  -11.20,   -8.40,   -9.17,   -8.89,  -13.21,  -11.15,  -10.97,  -12.67
197410,   14.91,   18.53,   19.02,   20.44,   17.13,   13.71,   17.81,   17.88,   19.18,   16.40,   21.98,   20.84,   19.79,   18.36,   15.22
197411,   -4.41,   -4.25,   -1.42,   -4.12,   -6.36,   -4.82,   -3.56,   -5.50,   -2.81,   -1.51,   -1.28,   -4.12,   -4.11,   -5.67,   -7.42
197412,   -0.88,   -3.93,   -4.94,   -4.35,   -8.61,   -1.16,   -0.43,   -3.97,   -3.88,   -5.02,   -4.84,   -4.06,   -4.64,   -5.90,  -12.27
197501,   10.90,   16.61,   15.27,   21.61,   29.34,   10.04,   12.23,   14.12,   20.70,   12.91,   17.69,   21.19,   22.07,   27.89,   31.36
197502,    6.09,    5.57,    6.08,    6.48,    5.66,    3.62,    9.01,    4.89,    6.64,    4.59,    8.20,    4.82,    8.82,    7.48,    2.87
197503,    1.58,    2.82,    5.79,    6.94,   10.23,    1.47,    1.72,    2.98,    2.57,    5.62,    6.01,    6.90,    6.99,    9.69,   11.17
197504,    4.37,    4.35,    5.21,    6.36,    4.16,    4.00,    5.00,    3.81,    5.62,    6.13,    3.73,    6.18,    6.56,    6.19,    1.29
197505,    4.71,    6.20,    6.38,    8.37,    8.93,    4.44,    5.22,    5.66,    6.99,    4.70,    8.40,    8.37,    8.37,    8.47,    9.65
197506,    4.59,    6.16,    6.19,    5.90,    6.79,    4.21,    5.43,    5.58,    6.81,    5.76,    6.89,    5.16,    7.02,    7.08,    6.39
197507,   -6.05,   -6.28,   -6.53,   -5.77,   -5.55,   -6.11,   -5.89,   -6.12,   -6.54,   -7.35,   -5.25,   -6.09,   -5.38,   -6.15,   -4.78
197508,   -1.87,   -2.00,   -3.32,   -4.22,   -6.75,   -1.85,   -1.92,   -1.51,   -2.64,   -2.87,   -4.06,   -3.96,   -4.54,   -6.08,   -7.55
