date,Equity Risk Premium (1yr)
01-Oct-1994,3.64
01-Nov-1994,3.6
01-Dec-1994,3.88
01-Jan-1995,3.76
01-Feb-1995,4.5
01-Mar-1995,4.08
01-Apr-1995,4.69
01-May-1995,5.3
01-Jun-1995,5.4
01-Jul-1995,5.32
01-Aug-1995,5.4
01-Sep-1995,5.02
01-Oct-1995,5.04
01-Nov-1995,5.28
01-Dec-1995,4.83
01-Jan-1996,5.3
01-Feb-1996,4.9
01-Mar-1996,4.73
01-Apr-1996,4.48
01-May-1996,4.29
01-Jun-1996,4.29
01-Jul-1996,4.17
01-Aug-1996,4.07
01-Sep-1996,4.1
01-Oct-1996,4.23
01-Nov-1996,4.28
01-Dec-1996,3.33
01-Jan-1997,3.67
01-Feb-1997,3.42
01-Mar-1997,3.67
01-Apr-1997,3.8
01-May-1997,3.69
01-Jun-1997,3.66
01-Jul-1997,3.92
01-Aug-1997,3.53
01-Sep-1997,3.61
01-Oct-1997,3.64
01-Nov-1997,3.53
01-Dec-1997,2.59
01-Jan-1998,3.5
01-Feb-1998,3.31
01-Mar-1998,3.14
01-Apr-1998,3.1
01-May-1998,2.92
01-Jun-1998,2.83
01-Jul-1998,2.61
01-Aug-1998,2.86
01-Sep-1998,3.22
01-Oct-1998,2.93
01-Nov-1998,2.78
01-Dec-1998,1.58
01-Jan-1999,2.54
01-Feb-1999,1.98
01-Mar-1999,1.91
01-Apr-1999,1.76
01-May-1999,1.49
01-Jun-1999,1.29
01-Jul-1999,1.09
01-Aug-1999,1.06
01-Sep-1999,1.17
01-Oct-1999,1.08
01-Nov-1999,0.81
01-Dec-1999,-0.31
01-Jan-2000,0.27
01-Feb-2000,0.41
01-Mar-2000,0.58
01-Apr-2000,0.53
01-May-2000,0.38
01-Jun-2000,0.59
01-Jul-2000,1.2
01-Aug-2000,0.78
01-Sep-2000,0.73
01-Oct-2000,1.08
01-Nov-2000,0.92
01-Dec-2000,0.82
01-Jan-2001,0.78
01-Feb-2001,1.42
01-Mar-2001,1.55
01-Apr-2001,1.62
01-May-2001,1.54
01-Jun-2001,1.63
01-Jul-2001,1.71
01-Aug-2001,2.27
01-Sep-2001,2.67
01-Oct-2001,3.96
01-Nov-2001,2.96
01-Dec-2001,2.53
01-Jan-2002,4.1
01-Feb-2002,3.32
01-Mar-2002,3.23
01-Apr-2002,3.64
01-May-2002,3.65
01-Jun-2002,3.99
01-Jul-2002,4.63
01-Aug-2002,4.89
01-Sep-2002,5.53
01-Oct-2002,6.38
01-Nov-2002,5.4
01-Dec-2002,5.32
01-Jan-2003,5.85
01-Feb-2003,6.17
01-Mar-2003,6.22
01-Apr-2003,7.34
01-May-2003,6.74
01-Jun-2003,6.85
01-Jul-2003,7.64
01-Aug-2003,6.64
01-Sep-2003,7.1
01-Oct-2003,8.48
01-Nov-2003,7.05
01-Dec-2003,6.28
01-Jan-2004,7.94
01-Feb-2004,7.38
01-Mar-2004,7.55
01-Apr-2004,7.91
01-May-2004,7.11
01-Jun-2004,7.11
01-Jul-2004,7.6
01-Aug-2004,7.6
01-Sep-2004,7.61
01-Oct-2004,7.98
01-Nov-2004,7.62
01-Dec-2004,6.7
01-Jan-2005,7.65
01-Feb-2005,7.55
01-Mar-2005,7.46
01-Apr-2005,7.21
01-May-2005,7.91
01-Jun-2005,7.89
01-Jul-2005,7.38
01-Aug-2005,7.87
01-Sep-2005,7.69
01-Oct-2005,7
01-Nov-2005,7.48
01-Dec-2005,6.75
01-Jan-2006,7.03
01-Feb-2006,7.35
01-Mar-2006,7.19
01-Apr-2006,6.67
01-May-2006,7.15
01-Jun-2006,7.12
01-Jul-2006,6.36
01-Aug-2006,7.42
01-Sep-2006,7.5
01-Oct-2006,7.14
01-Nov-2006,7.6
01-Dec-2006,6.67
01-Jan-2007,6.95
01-Feb-2007,7.48
01-Mar-2007,7.51
01-Apr-2007,7.26
01-May-2007,7.42
01-Jun-2007,7.37
01-Jul-2007,6.79
01-Aug-2007,7.76
01-Sep-2007,7.75
01-Oct-2007,6.99
01-Nov-2007,8.09
01-Dec-2007,7.31
01-Jan-2008,7.16
01-Feb-2008,8.52
01-Mar-2008,8.83
01-Apr-2008,8.3
01-May-2008,8.49
01-Jun-2008,8.56
01-Jul-2008,8
01-Aug-2008,8.89
01-Sep-2008,8.78
01-Oct-2008,8.29
01-Nov-2008,9.57
01-Dec-2008,10.72
01-Jan-2009,9.34
01-Feb-2009,10.29
01-Mar-2009,10.82
01-Apr-2009,10.96
01-May-2009,10.07
01-Jun-2009,10.03
01-Jul-2009,10.69
01-Aug-2009,10.14
01-Sep-2009,10.27
01-Oct-2009,11.04
01-Nov-2009,10.69
01-Dec-2009,9.1
01-Jan-2010,9.77
01-Feb-2010,9.67
01-Mar-2010,9.53
01-Apr-2010,9.42
01-May-2010,9.62
01-Jun-2010,10.04
01-Jul-2010,9.78
01-Aug-2010,10.47
01-Sep-2010,10.62
01-Oct-2010,10.89
01-Nov-2010,10.95
01-Dec-2010,9.99
01-Jan-2011,11.29
01-Feb-2011,10.92
01-Mar-2011,10.69
01-Apr-2011,10.98
01-May-2011,11.21
01-Jun-2011,11.34
01-Jul-2011,11.19
01-Aug-2011,12.12
01-Sep-2011,12.4
01-Oct-2011,12.04
01-Nov-2011,12.23
01-Dec-2011,11.68
01-Jan-2012,12.59
01-Feb-2012,12.05
01-Mar-2012,11.91
01-Apr-2012,11.93
01-May-2012,12.44
01-Jun-2012,12.53
01-Jul-2012,12.09
01-Aug-2012,12.8
01-Sep-2012,12.8
01-Oct-2012,12.11
01-Nov-2012,12.69
01-Dec-2012,11.7
01-Jan-2013,12.2
01-Feb-2013,12.11
01-Mar-2013,12.07
01-Apr-2013,12.81
01-May-2013,12.05
01-Jun-2013,11.73
01-Jul-2013,11.71
01-Aug-2013,11.31
01-Sep-2013,11.25
01-Oct-2013,11.36
01-Nov-2013,11.16
01-Dec-2013,9.78
01-Jan-2014,11.12
01-Feb-2014,10.84
01-Mar-2014,10.69
01-Apr-2014,11
01-May-2014,10.79
01-Jun-2014,10.75
01-Jul-2014,10.9
01-Aug-2014,10.78
01-Sep-2014,10.59
01-Oct-2014,11.19
01-Nov-2014,10.74
01-Dec-2014,10.03
01-Jan-2015,11.27
01-Feb-2015,10.86
01-Mar-2015,10.72
01-Apr-2015,10.99
01-May-2015,10.63
01-Jun-2015,10.35
01-Jul-2015,10.1
01-Aug-2015,10.33
01-Sep-2015,10.2
01-Oct-2015,10.12
01-Nov-2015,9.83
01-Dec-2015,9.51
01-Jan-2016,9.48
01-Feb-2016,10.13
01-Mar-2016,10.16
01-Apr-2016,9.99
01-May-2016,10.2
01-Jun-2016,10.39
01-Jul-2016,10.23
01-Aug-2016,10.41
01-Sep-2016,10.54
01-Oct-2016,10.4
01-Nov-2016,10.01
01-Dec-2016,9.46
01-Jan-2017,10.28
01-Feb-2017,10
01-Mar-2017,9.82
01-Apr-2017,10.16
01-May-2017,10.1
01-Jun-2017,10.03
01-Jul-2017,10.05
01-Aug-2017,10.13
01-Sep-2017,10.06
01-Oct-2017,10.29
01-Nov-2017,9.94
01-Dec-2017,9.18
01-Jan-2018,9.53
01-Feb-2018,9.21
01-Mar-2018,9.3
01-Apr-2018,9.39
01-May-2018,9.49
01-Jun-2018,9.43
01-Jul-2018,9.32
01-Aug-2018,9.37
01-Sep-2018,9.21
01-Oct-2018,8.55
01-Nov-2018,9.26
01-Dec-2018,9.16
01-Jan-2019,9.14
01-Feb-2019,9.54
01-Mar-2019,9.74
01-Apr-2019,9.42
01-May-2019,9.98
01-Jun-2019,10.24
01-Jul-2019,9.57
01-Aug-2019,10.5
01-Sep-2019,10.45
01-Oct-2019,10.29
01-Nov-2019,10.54
01-Dec-2019,10.54
01-Jan-2020,10.67
01-Feb-2020,10.85
01-Mar-2020,11.23
01-Apr-2020,11.86
01-May-2020,11.59
01-Jun-2020,11.29
