erp_one_month_ahead,erp_one_quarter_ahead,erp_six_months_ahead,erp_one_year_ahead,erp_two_years_ahead,erp_three_years_ahead,erp_four_years_ahead,erp_five_years_ahead,recession,zeros
2.58,0.68,0.82,1.26,2.07,4.3,2.52,4.04,-100,0
1.36,2.11,1.25,1.44,2.1,4.31,2.42,3.47,-100,0
0.83,2.09,0.98,1.19,1.68,4.04,2.19,3.02,-100,0
0.68,0.59,-0.08,1,1.38,3.81,1,-5.35,-100,0
0.53,0.85,0.71,1.3,1.72,3.85,1.37,-2.81,-100,0
2.49,1.45,1.77,1.81,2.11,4.22,2.2,3.23,-100,0
6.23,3.52,3.47,2.14,2.46,4.39,1.26,1.45,-100,0
8.64,6.9,5.92,3.84,3.58,5.13,3.19,4.04,-100,0
5.88,8.64,6.53,2.84,2.35,4.42,2.77,3.35,-100,0
3.72,8.6,6.98,4.03,2.18,4.08,1.02,0.29,-100,0
3.44,5.58,7.63,4.14,2.02,3.97,0.28,-0.14,-100,0
3.45,5.22,8.18,4.52,2.28,4.22,2.16,2.71,-100,0
3.93,5.26,8.4,5.07,3.32,4.61,1.18,2.3,-100,0
4.49,5.33,6.33,5.39,3.54,4.68,1.5,2.56,-100,0
4.25,5.37,6.11,5.69,3.86,4.84,3.43,5.79,-100,0
