This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
198502,   2.22,   2.27,   2.44,   2.13,   1.29,   0.18
198503,  -1.39,  -0.39,  -2.95,   1.80,   0.06,  -2.30
198504,  -0.91,   0.65,  -1.63,  -0.18,  -0.46,  -0.86
198505,   2.44,   3.55,   4.46,   4.83,   5.51,   6.10
198506,   1.11,   2.44,   1.98,   0.64,   1.77,   1.19
198507,   2.51,   1.95,   2.44,  -0.70,  -1.16,   0.00
198508,  -0.65,   0.35,  -2.20,  -0.27,  -0.84,  -1.98
198509,  -5.76,  -4.45,  -6.68,  -2.68,  -3.70,  -4.85
198510,   2.47,   3.91,   2.95,   3.27,   5.06,   5.01
198511,   4.39,   7.03,   7.82,   5.33,   6.84,   7.03
198512,   2.72,   4.36,   4.60,   3.30,   4.15,   5.18
198601,   1.23,   1.54,   2.45,  -1.54,   1.38,   1.36
198602,   5.05,   7.47,   7.57,   5.90,   8.61,   6.63
198603,   5.17,   5.10,   4.33,   5.50,   5.79,   4.47
198604,   0.88,   0.98,   2.12,   0.59,  -2.86,  -0.72
198605,   3.44,   4.66,   3.48,   5.71,   5.07,   3.93
198606,  -0.11,   1.41,  -0.14,   0.94,   2.67,  -0.69
198607,  -9.76,  -7.03, -10.19,  -6.84,  -3.85,  -7.41
198608,   3.64,   3.42,   2.37,  10.07,   6.93,   5.09
198609,  -5.29,  -5.82,  -7.58,  -4.31,  -9.68,  -9.15
198610,   3.45,   2.64,   3.60,   6.22,   5.62,   4.14
198611,  -0.06,   0.04,  -0.44,   1.60,   1.94,   0.79
198612,  -3.33,  -2.17,  -3.15,  -3.43,  -2.58,  -3.46
198701,  11.79,   9.95,  11.94,  11.00,  13.22,  12.99
198702,   7.52,   6.54,   7.91,   1.16,   2.88,   6.60
198703,   4.17,   1.37,   0.95,   5.69,   1.21,   0.96
198704,  -1.89,  -3.10,  -3.58,  -0.49,  -2.38,  -1.17
198705,   0.63,  -0.31,  -0.19,   1.65,   0.18,   0.01
198706,   2.48,   2.66,   2.18,   5.07,   5.30,   3.68
198707,   5.16,   3.29,   2.28,   5.46,   3.38,   4.87
198708,   1.07,   3.56,   3.70,   3.29,   3.69,   4.35
198709,  -0.71,  -1.59,  -2.68,  -1.40,  -2.32,  -3.26
198710, -30.06, -26.58, -32.11, -21.59, -20.24, -23.73
198711,  -4.80,  -3.15,  -6.61,  -9.52,  -7.65,  -8.46
198712,   5.58,   6.64,   7.96,   6.05,   6.44,   8.47
198801,   5.87,   4.16,   3.16,   5.96,   3.91,   4.27
198802,   7.35,   8.00,   7.94,   3.78,   3.72,   4.89
198803,   4.57,   3.19,   2.99,  -0.99,  -3.60,  -3.37
198804,   3.11,   1.98,   0.78,   1.72,   0.49,   0.21
198805,  -1.77,  -1.96,  -2.45,  -0.43,   0.61,   0.08
198806,   4.92,   7.43,   7.28,   1.64,   5.29,   5.99
198807,  -0.15,  -0.46,  -1.97,  -0.82,  -0.72,  -1.80
198808,  -2.14,  -2.32,  -3.89,  -2.69,  -2.93,  -4.17
198809,   2.25,   3.23,   2.11,   2.99,   3.93,   4.42
198810,  -0.76,  -0.67,  -1.15,   3.41,   1.48,   1.86
198811,  -2.75,  -3.15,  -4.09,  -0.90,  -2.19,  -2.47
198812,   4.01,   2.89,   3.71,   0.82,   1.58,   2.31
198901,   5.21,   3.98,   4.79,   6.87,   6.09,   7.48
198902,   1.16,   1.07,  -0.14,  -0.75,  -2.68,  -3.03
198903,   2.90,   2.75,   2.69,   2.56,   1.98,   1.24
198904,   3.79,   3.86,   4.86,   4.87,   4.94,   5.03
198905,   3.88,   3.24,   4.22,   3.68,   3.79,   3.48
198906,  -1.37,  -0.67,  -3.06,  -0.59,  -0.48,  -1.26
198907,   3.78,   3.56,   4.51,   8.32,   7.84,   8.68
198908,   1.82,   2.61,   2.34,   1.37,   1.29,   2.38
198909,  -0.33,   0.04,   0.55,   0.67,  -0.72,  -0.74
198910,  -6.87,  -5.42,  -5.96,  -1.78,  -3.45,  -2.66
198911,   1.42,   0.00,   0.26,   2.30,   1.53,   0.91
198912,  -0.61,   0.06,  -0.37,   3.77,   1.54,   0.71
199001,  -7.37,  -7.97,  -9.82,  -7.18,  -7.23,  -7.30
199002,   2.10,   1.61,   3.76,   1.25,   1.01,   0.96
199003,   3.27,   2.98,   4.56,   1.80,   1.81,   2.66
199004,  -3.94,  -2.48,  -3.79,  -3.94,  -2.70,  -2.17
