This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and OP.

The portfolios are constructed at the end of June.  OP is operating profits (sales - cost
of goods sold - selling, general and administrative expenses - interest expense) divided by book
at the last fiscal year end of the prior calendar year.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
198203,  -1.19,  -0.40,  -1.70,   0.36,  -1.11,  -1.66
198204,   4.66,   4.99,   6.50,   3.38,   3.35,   5.13
198205,  -3.05,  -2.70,  -2.94,  -4.57,  -4.15,  -3.15
198206,  -3.31,  -2.60,  -2.63,  -1.44,  -2.74,  -1.99
198207,  -2.31,  -1.80,  -0.88,  -3.02,  -2.59,  -1.95
198208,   7.47,   7.70,   8.33,  14.34,  11.52,   9.66
198209,   2.37,   4.10,   4.27,  -0.09,   0.77,   2.54
198210,  13.96,  12.24,  15.15,  11.56,  10.71,  11.77
198211,  10.04,   8.15,   9.04,   5.00,   3.01,   4.46
198212,   1.22,   0.52,   0.95,   1.35,   0.41,   1.53
198301,   8.75,   7.02,   6.08,   2.61,   4.38,   2.52
198302,   5.08,   5.36,   5.52,   4.06,   1.50,   2.22
198303,   4.07,   4.68,   4.36,   3.38,   2.67,   3.33
198304,   8.16,   6.94,   7.97,   7.29,   6.89,   7.27
198305,   8.45,   5.14,   5.46,   0.61,  -1.44,  -0.33
198306,   4.34,   4.11,   4.72,   0.17,   3.58,   4.52
198307,  -4.25,  -1.48,  -2.70,  -2.27,  -3.58,  -4.03
198308,  -4.39,  -3.04,  -3.28,  -0.08,   1.28,  -0.14
198309,  -0.97,   3.39,   1.72,   1.73,   1.25,   1.48
198310,  -6.86,  -4.55,  -7.08,  -1.14,  -2.14,  -2.30
198311,   3.48,   4.61,   4.49,   3.71,   1.56,   1.40
198312,  -2.06,  -1.65,  -1.77,  -2.82,  -1.48,  -0.01
198401,  -0.17,  -1.76,  -2.40,  -2.89,   0.57,  -2.64
198402,  -5.87,  -5.27,  -5.86,  -5.85,  -3.67,  -4.26
198403,   0.88,   0.57,   0.83,   2.72,   0.12,   1.16
198404,  -2.35,  -0.32,   0.21,  -3.28,   1.70,   0.80
198405,  -6.60,  -4.89,  -5.11,  -7.97,  -5.40,  -4.96
198406,   1.16,   2.58,   3.81,  -0.60,   3.28,   3.04
198407,  -7.11,  -3.75,  -2.71,  -3.91,  -2.21,  -0.80
198408,  11.34,  11.20,  11.55,  12.53,  10.33,  10.30
198409,  -1.91,  -0.05,  -0.08,  -0.97,  -0.56,   0.18
198410,  -2.90,  -0.97,  -0.40,   0.57,  -0.63,   0.52
198411,  -4.64,  -1.63,  -1.33,  -0.39,  -1.18,  -2.12
198412,   0.32,   1.87,   2.50,   2.15,   1.92,   2.61
198501,  13.32,  10.84,  11.95,   8.46,   7.22,   8.19
198502,   2.34,   2.24,   2.96,  -0.32,   1.09,   1.65
198503,  -3.80,  -1.10,  -1.30,  -0.53,   0.05,  -0.51
198504,  -2.07,  -1.22,   0.86,  -0.82,  -0.22,  -0.69
198505,   2.01,   3.61,   4.92,   5.83,   5.58,   5.38
198506,  -0.84,   1.95,   3.51,   1.82,   1.79,   0.89
198507,   2.90,   1.71,   2.24,  -0.62,  -0.92,  -0.83
198508,  -1.32,  -0.87,  -1.04,  -0.90,  -0.75,  -1.20
198509,  -6.97,  -4.74,  -5.81,  -4.89,  -3.81,  -3.50
198510,   2.07,   3.51,   3.85,   4.91,   4.39,   4.69
198511,   6.79,   6.47,   7.81,   6.74,   6.83,   6.29
198512,   3.53,   4.28,   4.39,   3.79,   4.32,   4.66
198601,   2.09,   1.03,   2.71,   4.29,  -0.04,  -0.18
198602,   5.40,   6.58,   8.42,   8.03,   7.20,   7.13
198603,   3.78,   5.58,   4.48,   4.37,   4.77,   6.32
198604,   1.01,   1.63,   2.28,  -5.13,  -0.79,  -0.36
198605,   2.48,   4.21,   4.90,   3.87,   4.82,   5.52
198606,  -0.92,   0.83,   1.15,   0.22,   1.95,   1.59
198607, -10.39,  -8.03,  -9.51,  -4.35,  -4.58,  -6.74
198608,   3.00,   3.87,   1.89,   8.31,   6.91,   6.14
198609,  -6.17,  -6.09,  -6.99,  -9.06,  -8.93,  -8.37
198610,   2.71,   2.94,   4.03,   5.63,   6.07,   4.46
198611,  -0.93,   0.12,  -0.08,   0.43,   1.94,   1.47
198612,  -3.97,  -2.65,  -2.56,  -3.39,  -3.37,  -2.65
198701,  11.17,  11.42,  11.56,  13.13,  12.11,  13.22
198702,   8.69,   6.01,   8.19,   5.33,   3.05,   4.13
198703,   2.50,   2.66,   1.55,  -0.29,   0.80,   3.34
198704,  -1.75,  -3.95,  -3.16,  -1.60,  -2.33,  -1.24
198705,  -0.17,   0.21,  -0.43,  -0.98,   0.66,   0.50
198706,   0.90,   2.84,   2.84,   3.52,   4.39,   5.21
198707,   2.95,   3.70,   2.92,   5.76,   2.97,   5.10
198708,   1.76,   3.10,   4.32,   2.82,   3.56,   4.33
198709,  -1.95,  -1.84,  -1.99,  -1.04,  -2.31,  -2.98
198710, -32.09, -27.66, -29.95, -23.75, -20.60, -21.83
198711,  -5.59,  -3.41,  -6.60,  -6.16,  -8.17,  -9.08
198712,   5.21,   6.85,   9.26,   5.36,   7.06,   7.29
198801,   4.39,   4.89,   2.59,   4.65,   4.49,   4.35
198802,   6.74,   7.87,   8.94,   1.84,   3.95,   4.88
198803,   4.10,   2.37,   4.47,  -2.42,  -2.77,  -3.35
198804,   2.23,   1.65,   1.70,  -0.22,   1.59,  -0.05
198805,  -1.95,  -1.60,  -2.75,   0.71,   0.12,   0.18
198806,   5.76,   7.23,   7.39,   3.86,   4.53,   5.04
198807,  -0.74,  -1.38,  -1.19,  -0.55,  -0.81,  -1.42
198808,  -3.23,  -2.55,  -2.98,  -1.54,  -3.61,  -3.24
198809,   1.73,   3.13,   2.89,   3.01,   2.92,   5.24
198810,  -1.66,  -0.16,  -0.88,   0.18,   2.29,   2.03
198811,  -3.22,  -2.74,  -3.68,  -2.02,  -2.18,  -1.89
198812,   3.72,   3.34,   3.71,   0.66,   1.58,   2.03
198901,   5.85,   4.24,   3.82,   6.61,   6.24,   6.92
198902,   0.61,   0.90,   0.22,  -1.32,  -2.97,  -2.27
198903,   3.16,   2.19,   2.58,   2.23,   1.07,   2.72
198904,   3.84,   4.54,   5.17,   4.99,   4.64,   5.34
198905,   3.88,   3.23,   4.60,   3.81,   3.38,   3.93
198906,  -2.61,  -1.31,  -2.00,  -0.76,  -0.23,  -1.22
198907,   3.48,   4.46,   4.02,   6.29,   7.67,   9.29
198908,   2.08,   1.82,   3.49,   2.13,   1.38,   1.80
198909,  -0.46,   0.08,   0.95,  -0.68,  -0.94,   0.30
198910,  -6.08,  -5.49,  -5.56,  -2.81,  -2.29,  -3.09
198911,   0.19,   0.83,   0.23,   2.49,   2.10,   0.60
198912,  -0.46,  -0.13,  -0.18,   1.44,   2.99,   0.85
199001,  -7.84,  -8.22,  -9.71,  -6.71,  -7.04,  -7.50
199002,   2.81,   2.29,   2.82,   1.30,   1.02,   0.97
199003,   2.81,   3.80,   4.65,   0.53,   1.69,   2.96
199004,  -3.42,  -3.34,  -3.23,  -4.88,  -3.11,  -1.93
199005,   5.95,   6.86,   7.62,   7.73,   8.29,   9.84
199006,   1.58,   0.65,  -0.36,   0.20,  -1.60,  -0.37
199007,  -4.40,  -3.52,  -4.41,  -1.05,  -0.14,  -1.88
199008, -13.91, -12.01, -14.51,  -9.61,  -9.12,  -9.68
199009,  -9.39,  -8.16, -10.48,  -7.12,  -3.98,  -5.94
199010,  -7.90,  -4.86,  -5.22,  -3.11,  -1.03,   0.03
199011,   5.18,   7.39,   7.89,   7.65,   5.73,   6.80
199012,   1.18,   3.71,   5.15,   1.64,   2.15,   3.48
199101,   7.84,   8.49,   9.41,   4.17,   3.82,   5.55
199102,  12.28,   9.36,  11.07,   7.10,   5.67,   7.89
199103,   7.41,   5.91,   6.26,   3.03,   1.44,   3.41
199104,  -0.18,   0.89,   1.02,   0.05,  -0.25,   0.22
199105,   2.99,   3.81,   5.09,   2.42,   2.88,   4.78
199106,  -5.72,  -4.20,  -3.71,  -5.64,  -4.69,  -4.56
199107,   3.21,   3.48,   4.51,   3.61,   3.91,   5.27
199108,   4.57,   2.71,   4.16,   0.99,   0.87,   3.50
199109,   1.15,   0.13,  -0.31,  -0.33,  -0.45,  -2.54
199110,   4.16,   2.12,   2.04,   2.90,   0.98,   1.34
199111,  -6.17,  -3.77,  -4.45,  -3.54,  -4.92,  -3.27
199112,   7.37,   7.78,   9.80,   7.98,   9.31,  13.07
199201,   9.75,   7.03,   8.10,  -0.75,  -1.78,  -1.59
199202,   2.19,   2.13,   4.16,   1.82,   0.83,   0.59
199203,  -3.96,  -2.15,  -3.99,  -2.18,  -2.26,  -2.44
199204,  -5.70,  -2.19,  -2.72,   0.95,   3.50,   1.46
199205,   1.49,   0.69,  -0.98,  -0.13,   0.18,   0.49
199206,  -4.82,  -3.63,  -4.57,  -2.24,  -0.82,  -2.72
199207,   2.49,   3.48,   3.83,   2.87,   4.31,   4.11
199208,  -5.53,  -2.53,  -1.50,  -5.17,  -2.55,  -1.60
199209,  -0.06,   2.30,   3.00,   0.99,   0.73,   1.24
199210,   2.49,   2.75,   4.38,   0.84,  -0.60,   1.75
199211,   8.60,   7.29,   8.09,   5.12,   1.76,   4.26
199212,   2.49,   3.65,   3.39,   3.47,   0.71,   1.37
199301,   2.78,   3.68,   3.54,   3.85,   0.73,  -0.18
