This file was created by CMPT_ME_BEME_OP_INV_RETS_DAILY using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
19640417,   0.36,   0.41,   0.10,   0.09,   0.56,   0.34
19640420,  -0.31,  -0.11,  -0.44,  -0.34,   0.06,  -0.12
19640421,  -0.65,   0.01,  -0.06,   0.09,  -0.14,   0.34
19640422,  -0.14,  -0.45,  -0.15,  -0.33,   0.00,   0.08
19640423,  -0.68,  -0.21,  -0.67,   0.01,  -0.22,  -0.07
19640424,  -1.06,  -0.67,  -1.03,  -0.95,  -0.75,  -0.57
19640427,  -0.34,  -0.56,  -0.72,  -0.75,  -0.45,  -0.53
19640428,   0.84,   0.36,   0.61,   0.46,   0.69,   0.86
19640429,  -0.95,  -0.55,  -0.41,  -0.91,  -0.10,  -0.52
19640430,  -0.32,  -0.18,  -0.64,  -0.31,  -0.25,  -0.08
19640501,   0.99,   0.41,   0.73,   0.72,   0.51,   1.60
19640504,   0.34,   0.65,   0.85,   0.69,   0.42,   0.34
19640505,  -0.16,   0.31,  -0.02,   0.05,   0.47,   1.02
19640506,   0.25,   0.10,  -0.13,   0.34,   0.33,   0.05
19640507,   0.53,   0.02,  -0.11,   0.65,   0.00,  -0.07
19640508,   0.08,  -0.30,  -0.28,  -0.33,  -0.16,  -0.14
19640511,   0.09,   0.05,   0.11,  -0.03,  -0.08,   0.13
19640512,   0.37,   0.04,  -0.14,   0.21,   0.26,   0.72
19640513,  -0.26,  -0.25,  -0.44,  -0.51,  -0.15,  -0.18
19640514,   0.20,   0.04,   0.06,  -0.24,  -0.09,  -0.16
19640515,  -0.10,  -0.07,   0.00,   0.42,   0.14,   0.09
19640518,  -0.33,  -0.29,  -0.61,  -0.70,  -0.30,  -0.30
19640519,   0.05,  -0.22,  -0.19,  -0.23,  -0.35,  -0.85
19640520,   0.36,   0.41,   0.03,   0.14,   0.32,   0.81
19640521,  -0.28,   0.16,  -0.23,  -0.23,   0.03,   0.29
19640522,   0.31,   0.22,   0.28,  -0.17,   0.19,  -0.03
19640525,   0.08,  -0.41,  -0.08,  -0.22,  -0.08,  -0.06
19640526,   0.17,  -0.18,  -0.16,  -0.38,  -0.23,  -0.01
19640527,  -0.41,  -0.30,  -0.35,   0.21,  -0.19,  -0.29
19640528,   0.36,   0.21,   0.55,   0.60,  -0.02,   0.24
19640601,  -0.38,  -0.16,  -0.52,  -0.42,  -0.24,  -0.47
19640602,  -0.63,  -0.69,  -0.73,  -0.45,  -0.50,  -0.51
19640603,  -0.16,   0.02,  -0.64,  -0.12,  -0.17,  -0.40
19640604,  -1.17,  -0.97,  -1.26,  -0.99,  -0.89,  -1.24
19640605,   0.47,   0.18,   0.42,   0.57,   0.38,   0.57
19640608,  -0.69,  -0.34,  -0.46,  -0.57,  -0.30,  -0.68
19640609,   0.85,   0.18,   0.34,   0.64,   0.40,   0.97
19640610,   0.29,   0.52,   0.32,   0.43,   0.33,   0.57
19640611,  -0.03,   0.16,   0.61,   0.25,   0.29,   0.56
19640612,   0.12,  -0.05,   0.12,  -0.23,  -0.24,  -0.15
19640615,   0.46,   0.59,   0.68,   0.35,   0.48,   0.62
19640616,   0.70,   0.76,   0.43,   0.53,   0.37,   0.89
19640617,   0.44,   0.35,   0.63,   0.37,   0.63,   0.40
19640618,   0.07,   0.16,  -0.13,  -0.02,   0.03,  -0.09
19640619,   0.32,   0.11,   0.17,   0.11,   0.09,   0.26
19640622,   0.27,  -0.01,   0.27,   0.14,   0.26,   0.31
19640623,   0.00,   0.07,  -0.04,  -0.41,  -0.25,  -0.83
19640624,   0.48,   0.20,   0.45,   0.29,   0.46,   0.18
19640625,   0.22,   0.23,  -0.06,  -0.04,   0.52,  -0.37
19640626,   0.47,   0.73,   0.47,   0.21,   0.26,   0.29
19640629,   0.08,   0.21,  -0.06,  -0.02,   0.40,  -0.09
19640630,  -0.07,  -0.26,   0.03,  -0.22,  -0.01,   0.35
19640701,   0.57,   0.38,   0.74,   0.64,   0.59,   0.70
19640702,   0.32,   0.30,   0.49,   0.09,   0.44,   0.48
19640706,   0.25,   0.29,   0.24,   0.11,   0.52,   0.54
19640707,  -0.04,   0.18,  -0.16,   0.24,   0.20,   0.16
19640708,   0.22,   0.20,  -0.04,   0.30,  -0.11,   0.25
19640709,   0.59,   0.44,   0.40,   0.45,   0.07,   0.00
19640710,   0.35,   0.21,   0.33,   0.46,   0.17,   0.02
19640713,  -0.15,   0.04,   0.13,   0.06,  -0.14,   0.04
19640714,   0.07,  -0.01,  -0.12,  -0.16,  -0.25,  -0.56
19640715,   0.23,   0.44,   0.35,   0.45,   0.37,   0.46
19640716,   0.24,   0.01,   0.13,   0.22,   0.45,   0.08
19640717,   0.15,   0.11,   0.47,   0.63,   0.50,   0.26
19640720,  -0.21,   0.01,  -0.25,  -0.16,  -0.39,  -0.37
19640721,  -0.22,   0.05,  -0.18,  -0.24,  -0.17,  -0.12
19640722,   0.36,  -0.06,  -0.02,   0.27,  -0.02,   0.02
19640723,   0.13,   0.11,   0.02,   0.12,  -0.11,   0.04
19640724,   0.09,   0.08,   0.06,  -0.22,   0.20,  -0.52
19640727,  -0.57,  -0.26,  -0.68,  -0.37,  -0.43,  -0.71
19640728,  -0.09,  -0.12,  -0.14,  -0.27,  -0.18,  -0.35
19640729,  -0.01,   0.11,   0.15,   0.29,   0.04,   0.28
19640730,   0.04,   0.01,  -0.02,   0.00,   0.30,  -0.10
19640731,   0.47,   0.29,  -0.12,   0.28,   0.14,  -0.17
19640803,  -0.55,  -0.20,  -0.55,  -0.09,  -0.28,  -0.18
19640804,  -1.08,  -1.38,  -1.37,  -0.76,  -1.07,  -1.54
19640805,   0.01,  -0.12,  -0.21,  -0.02,   0.19,   0.64
19640806,  -0.46,  -0.53,  -0.65,  -0.82,  -0.99,  -0.83
19640807,   0.59,   0.39,   0.54,   0.55,   0.61,   0.68
19640810,   0.16,  -0.15,   0.17,   0.25,  -0.10,   0.22
19640811,  -0.13,   0.24,   0.32,  -0.03,   0.01,  -0.06
19640812,   0.39,   0.50,   1.08,   0.59,   0.49,   0.54
19640813,   0.33,   0.51,   0.33,   0.18,   0.22,   0.56
19640814,   0.05,  -0.01,   0.15,   0.12,  -0.04,  -0.53
19640817,  -0.15,  -0.04,  -0.06,  -0.11,   0.05,   0.06
19640818,   0.06,   0.14,   0.04,   0.29,   0.08,  -0.10
19640819,  -0.17,   0.12,  -0.14,  -0.07,   0.05,  -0.43
19640820,  -0.45,  -0.44,  -0.48,  -0.42,  -0.34,  -0.79
19640821,   0.21,   0.43,   0.15,   0.27,   0.07,   0.34
19640824,  -0.02,   0.12,   0.06,  -0.22,  -0.17,  -0.29
19640825,  -0.68,  -0.28,  -0.50,  -0.54,  -0.37,  -0.85
