This file was created using the 201509 Bloomberg database. It contains
value- and equal-weighted returns for the intersections of 5 ME portfolios
and 5 BE/ME portfolios in Asia_Pacific_ex_Japan.

The portfolios are constructed at the end of June.  ME is market cap at the end
of June.  BE/ME is book equity at the last fiscal year end of the prior calendar
year divided by ME as of  6 months before formation.  Firms with negative
BE are not included in any portfolio.

The annual returns are from January to December.

The break points include utilities and include financials.

The portfolios include utilities and include financials.

Missing data are indicated by -99.99.



  Average Value Weighted Returns -- Monthly
 ,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
199501  ,-9.54 ,-10.40  ,-7.22  ,-8.18  ,-5.96 ,-10.37  ,-9.23  ,-8.97  ,-6.93  ,-8.03  ,-7.99  ,-8.41  ,-9.98  ,-6.14  ,-7.48  ,-8.02  ,-9.95  ,-8.38  ,-6.63  ,-9.26  ,-5.07  ,-9.06  ,-8.32  ,-6.66  ,-4.07
199502  ,-3.55  ,-0.14  ,-4.38  ,-1.11  ,-2.10   ,0.56   ,1.49   ,3.31   ,0.04   ,3.93   ,0.60   ,3.89   ,0.94   ,1.08   ,2.72   ,0.48   ,2.79   ,1.82   ,2.89   ,5.96   ,5.34  ,10.95   ,4.23  ,11.17   ,6.79
199503  ,-1.54  ,-3.31  ,-2.13  ,-1.33  ,-1.07  ,-3.17  ,-1.84   ,0.32   ,0.18  ,-1.37   ,0.10   ,0.81   ,0.46  ,-1.46  ,-1.46  ,-0.43   ,0.03  ,-0.53  ,-0.84   ,0.20   ,3.80  ,-0.15   ,0.44   ,0.67   ,1.28
199504   ,1.19  ,-0.54   ,0.36   ,3.74   ,0.39   ,3.18  ,-1.25  ,-0.28   ,0.05   ,1.03  ,-3.44   ,2.80   ,1.02   ,1.10   ,2.07   ,2.42   ,3.19   ,5.68   ,3.86   ,1.36   ,0.34   ,0.65   ,4.93   ,2.14  ,-1.42
199505   ,2.24  ,-0.72  ,-2.21  ,-1.69  ,-0.92   ,3.10   ,1.01   ,2.68   ,3.51   ,3.16   ,1.77   ,4.45   ,1.11   ,3.54   ,1.67   ,3.47   ,7.62  ,-0.33   ,0.15   ,5.65   ,7.50   ,7.18   ,1.59   ,4.59   ,3.09
199506   ,0.45  ,-1.60  ,-2.19  ,-0.78  ,-1.11  ,-0.55   ,0.34   ,0.23   ,0.67   ,1.77  ,-0.82   ,0.04  ,-1.19  ,-2.26  ,-1.07  ,-0.23  ,-0.09  ,-0.45  ,-1.59  ,-1.46  ,-3.91  ,-1.96  ,-1.84   ,0.34  ,-2.68
199507  ,11.06  ,10.59  ,11.78   ,9.53   ,6.61   ,9.85   ,6.38   ,8.16   ,5.13   ,8.18   ,8.60   ,7.11   ,5.01   ,9.97   ,5.45   ,3.42   ,7.63   ,4.41   ,5.02   ,3.67   ,4.79   ,7.21   ,6.30   ,3.01   ,2.05
199508  ,13.35  ,12.86  ,11.94   ,6.63  ,-1.42   ,5.09   ,3.51   ,9.99   ,3.40  ,-2.59   ,6.89   ,2.28   ,1.29   ,1.03  ,-1.60   ,2.32  ,-0.22  ,-2.11  ,-0.94  ,-3.37  ,-1.51  ,-2.45   ,0.99  ,-2.46  ,-4.17
199509   ,1.32   ,2.54  ,-0.37  ,-0.79   ,2.18  ,-1.20   ,0.32   ,5.32   ,3.65   ,3.66  ,-2.27   ,0.93  ,-0.66   ,1.46   ,3.60   ,3.11  ,-0.23   ,2.53   ,2.13   ,1.19   ,0.26   ,3.66   ,1.93   ,3.08   ,4.52
199510  ,-4.73  ,-2.76  ,-4.52  ,-2.47  ,-1.09  ,-1.62  ,-2.48  ,-3.34  ,-1.09  ,-2.55  ,-4.66  ,-4.82  ,-1.90  ,-0.98  ,-0.31  ,-3.19  ,-1.96  ,-2.25  ,-3.49  ,-0.50   ,1.20   ,0.54   ,0.06  ,-2.38   ,2.94
