This file was created by CMPT_VAR_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on VAR.

The portfolios are constructed at the end of each month.

The residual return variance is measured over 60 days up to formation monthend requiring at least 20 non-missing daily returns.  
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Value Weighted Returns -- Monthly
,Lo 20,Qnt 2,Qnt 3,Qnt 4,Hi 20,Lo 10,Dec 2,Dec 3,Dec 4,Dec 5,Dec 6,Dec 7,Dec 8,Dec 9,Hi 10
197001,   -6.24,   -7.58,   -9.13,  -10.64,   -9.64,   -6.26,   -6.20,   -6.70,   -8.65,   -8.23,   -9.90,  -10.49,  -10.81,  -10.31,   -9.06
197002,    5.34,    6.08,    7.05,    6.95,    2.63,    5.40,    5.20,    7.18,    4.83,    7.25,    6.85,    7.13,    6.66,    4.12,    1.21
197003,    0.31,    0.64,   -1.10,   -2.65,   -5.12,    1.35,   -2.28,    1.63,   -0.93,   -0.41,   -2.01,   -2.13,   -3.27,   -4.46,   -5.80
197004,   -8.16,   -9.21,  -13.10,  -14.36,  -19.97,   -8.24,   -7.97,   -8.58,   -9.92,  -11.91,  -14.88,  -13.01,  -16.27,  -17.29,  -22.44
197005,   -5.51,   -5.60,   -7.18,   -8.66,  -12.01,   -5.63,   -5.21,   -5.62,   -5.58,   -7.98,   -6.38,   -7.48,   -9.96,  -11.03,  -13.10
197006,   -4.22,   -4.37,   -5.46,   -9.19,  -11.95,   -4.52,   -3.47,   -2.90,   -6.26,   -3.94,   -7.22,   -8.53,   -9.81,  -11.99,  -11.93
197007,    7.27,    7.20,    9.54,    6.96,    6.64,    7.52,    6.50,    5.68,    8.98,   10.67,    8.18,    6.48,    7.79,    9.57,    3.64
197008,    4.35,    3.94,    6.35,    7.96,    9.66,    4.52,    3.89,    3.38,    4.64,    4.91,    8.37,    6.26,    9.99,   11.01,    8.30
197009,    2.29,    4.37,    7.05,   10.39,   17.80,    1.82,    3.54,    3.60,    5.37,    6.34,    7.98,    9.63,   11.28,   15.21,   20.57
197010,   -0.43,   -0.87,   -3.34,   -6.25,  -10.11,   -0.56,   -0.06,   -0.16,   -1.55,   -2.91,   -3.87,   -4.56,   -8.49,   -8.53,  -11.85
197011,    5.99,    4.59,    4.78,    3.76,   -0.98,    6.30,    5.09,    4.31,    4.94,    4.65,    4.95,    3.78,    3.73,    0.63,   -2.57
197012,    5.36,    7.28,    6.74,    8.70,    6.38,    5.46,    5.08,    6.66,    8.00,    6.71,    6.79,    7.63,   10.52,    9.02,    3.58
197101,    3.45,    5.98,    6.99,   11.45,   13.24,    2.94,    5.09,    4.28,    7.76,    5.87,    8.13,   10.24,   13.10,   11.64,   15.03
197102,    1.11,    1.92,    2.78,    2.96,    4.13,    1.00,    1.43,    2.04,    1.76,    1.79,    4.22,    3.23,    2.62,    3.24,    5.01
197103,    4.20,    3.56,    5.77,    5.58,    6.04,    4.19,    4.25,    3.31,    3.92,    5.77,    5.78,    4.84,    6.82,    6.19,    5.87
197104,    3.19,    2.82,    4.92,    5.50,    3.33,    2.69,    4.68,    2.01,    3.86,    4.56,    5.32,    4.90,    6.33,    3.07,    3.58
197105,   -3.96,   -2.77,   -2.61,   -4.51,   -5.67,   -4.22,   -3.09,   -2.90,   -2.60,   -2.97,   -2.00,   -3.93,   -5.37,   -5.20,   -6.14
197106,    0.81,    0.96,    0.22,   -1.54,   -3.81,    0.43,    1.76,    0.47,    1.77,    0.76,   -0.47,   -1.45,   -1.66,   -3.74,   -3.88
197107,   -3.31,   -3.73,   -4.24,   -6.50,   -9.06,   -3.30,   -3.32,   -3.14,   -4.57,   -4.06,   -4.51,   -6.51,   -6.48,   -8.40,   -9.76
197108,    3.87,    3.65,    4.85,    6.71,    5.98,    3.96,    3.68,    4.12,    3.04,    4.01,    5.66,    7.35,    5.71,    8.29,    3.98
197109,    0.25,   -1.21,   -0.67,   -1.58,   -1.36,    0.68,   -0.88,   -1.83,   -0.45,   -0.51,   -0.91,   -1.98,   -0.91,    0.03,   -2.59
197110,   -2.57,   -3.87,   -5.78,   -7.13,   -7.83,   -1.58,   -4.75,   -3.43,   -4.82,   -5.43,   -6.40,   -6.92,   -7.39,   -5.97,   -9.52
197111,    0.74,   -0.10,   -0.64,   -1.46,   -4.19,    0.96,    0.32,   -0.04,   -0.18,    0.38,   -2.44,   -0.46,   -2.92,   -4.28,   -4.11
197112,    8.30,    8.60,    9.51,   12.31,   13.77,    7.99,    9.26,    8.96,    8.14,    9.38,    9.69,   11.44,   13.54,   13.90,   13.66
197201,    1.89,    1.00,    4.52,    5.43,   10.37,    2.41,    0.85,    0.48,    1.69,    3.09,    6.22,    4.04,    7.16,    8.61,   12.38
197202,    2.59,    3.14,    3.88,    4.46,    4.08,    1.50,    4.70,    2.29,    4.40,    4.68,    3.15,    4.70,    4.15,    4.37,    3.77
197203,    1.57,    0.42,   -0.02,   -0.21,   -0.87,    1.84,    0.93,    0.54,    0.26,   -0.79,    0.95,   -0.11,   -0.32,   -0.98,   -0.76
197204,    0.11,    1.51,    0.73,    1.58,   -0.79,   -0.36,    1.11,    2.09,    0.44,    0.87,    0.46,   -0.14,    3.06,    0.68,   -2.22
197205,    2.31,    1.82,    0.61,    0.45,   -1.49,    2.42,    2.03,    2.74,    0.57,    0.87,    0.05,    0.82,    0.05,   -0.12,   -2.78
197206,   -1.42,   -1.74,   -3.38,   -5.00,   -3.34,   -1.06,   -2.33,   -1.36,   -2.16,   -3.67,   -3.01,   -5.48,   -4.49,   -3.62,   -3.05
197207,    1.22,   -0.56,   -2.40,   -4.89,   -5.68,    1.37,    0.86,   -0.87,   -0.19,   -2.37,   -2.44,   -5.04,   -4.68,   -3.62,   -7.81
197208,    3.66,    4.41,    3.65,    3.37,   -0.02,    3.36,    4.47,    4.70,    3.99,    3.67,    3.62,    3.89,    2.65,    1.20,   -1.23
197209,    0.26,   -0.77,   -1.17,   -3.04,   -5.03,   -0.02,    0.72,    0.05,   -1.64,   -1.06,   -1.37,   -3.07,   -3.01,   -4.31,   -5.85
197210,    1.33,    1.29,    0.79,    0.39,   -3.08,   -0.22,    3.46,    1.32,    1.26,    1.35,    0.05,    1.68,   -1.22,   -1.44,   -4.68
197211,    4.01,    6.05,    6.84,    5.36,    5.63,    4.27,    3.43,    6.23,    5.87,    6.17,    8.12,    4.54,    6.22,    6.94,    4.34
197212,    2.01,    0.89,   -0.11,   -2.03,   -2.36,    2.45,    1.07,    1.38,    0.17,   -0.22,    0.06,   -1.57,   -2.43,   -1.06,   -3.67
197301,   -0.28,   -3.97,   -6.30,   -7.19,   -9.56,    0.66,   -2.26,   -2.94,   -5.66,   -6.74,   -5.67,   -6.06,   -8.46,   -8.33,  -10.94
197302,   -3.12,   -4.21,   -5.73,   -6.73,   -9.99,   -3.09,   -3.20,   -3.17,   -5.57,   -5.17,   -6.50,   -7.37,   -6.16,   -9.37,  -10.65
197303,   -0.45,   -0.43,   -1.17,   -1.18,   -2.82,   -0.25,   -0.97,    0.70,   -1.72,   -1.49,   -0.75,   -0.51,   -2.18,   -1.96,   -3.97
197304,   -3.27,   -5.14,   -7.71,   -8.23,  -10.91,   -2.87,   -4.27,   -5.09,   -5.21,   -8.04,   -7.38,   -6.49,  -10.39,   -9.90,  -11.65
197305,   -0.78,   -2.77,   -2.67,   -5.68,  -10.36,   -1.30,    0.23,   -2.57,   -3.00,   -2.30,   -3.06,   -5.21,   -6.12,   -9.82,  -10.79
197306,    0.06,   -1.27,   -2.73,   -3.43,   -4.72,   -0.37,    0.79,   -0.82,   -2.00,   -3.80,   -1.15,   -3.09,   -3.80,   -5.63,   -3.78
197307,    2.15,    5.68,   12.38,   13.57,   17.89,    1.46,    3.83,    4.13,    7.77,   12.87,   11.69,   13.27,   13.98,   16.81,   19.02
197308,   -3.46,   -2.79,   -2.31,   -1.78,   -6.24,   -3.90,   -2.16,   -3.14,   -2.18,   -0.38,   -4.61,   -0.99,   -2.79,   -4.00,   -8.79
197309,    2.52,    7.90,    7.96,    9.56,   11.34,    1.62,    5.22,    6.56,   10.17,    7.02,    9.39,    9.84,    9.17,   12.41,   10.34
197310,   -0.37,    1.64,   -1.89,   -1.42,   -3.44,   -0.64,    0.20,    2.51,    0.09,   -1.42,   -2.55,    0.38,   -3.84,   -3.61,   -3.30
197311,   -9.77,  -11.65,  -14.58,  -18.25,  -21.46,   -9.87,   -9.57,  -12.25,  -11.09,  -14.06,  -15.45,  -18.27,  -18.23,  -22.31,  -20.65
197312,    1.57,    1.97,    0.22,   -1.40,   -1.84,    1.06,    2.77,    1.80,    2.27,    0.64,   -0.49,   -0.16,   -3.13,   -0.82,   -2.87
197401,   -0.43,   -1.11,    1.91,    4.67,    9.73,   -0.49,   -0.28,   -2.01,    0.23,    0.39,    3.52,    0.84,   10.21,    6.90,   12.71
197402,    0.13,   -0.09,    0.11,    0.78,   -0.42,   -0.36,    1.24,    0.51,   -0.87,    0.04,    0.20,    0.10,    1.54,   -0.26,   -0.59
197403,   -2.11,   -2.73,   -1.45,   -3.45,   -3.37,   -1.96,   -2.44,   -2.64,   -2.86,   -1.46,   -1.44,   -4.59,   -1.90,   -5.19,   -0.90
197404,   -4.18,   -4.46,   -4.75,   -6.31,   -7.42,   -4.18,   -4.19,   -4.24,   -4.77,   -3.89,   -5.98,   -5.59,   -7.37,   -6.38,   -8.65
197405,   -2.63,   -4.39,   -5.27,   -5.91,   -9.52,   -1.77,   -5.08,   -4.99,   -3.58,   -4.50,   -6.43,   -4.01,   -8.64,   -9.55,   -9.47
197406,   -1.47,   -1.84,   -3.95,   -3.94,   -5.98,   -0.83,   -3.57,   -0.29,   -3.93,   -4.32,   -3.59,   -2.61,   -6.00,   -4.88,   -7.07
197407,   -7.88,   -7.79,   -6.07,   -4.98,   -6.28,   -8.60,   -5.51,   -8.62,   -6.46,   -6.25,   -5.81,   -5.30,   -4.65,   -7.46,   -4.30
197408,   -8.02,  -10.39,   -8.72,   -9.69,  -10.47,   -7.58,   -9.26,   -9.70,  -11.40,   -9.34,   -8.08,  -10.10,   -9.12,  -10.12,  -10.94
