This file was created by CMPT_ME_BEME_OP_INV_RETS using the 201509 CRSP database.
It contains value- and equal-weighted returns for portfolios formed on ME and INV.

The portfolios are constructed at the end of June.  INV is the change
in total assets from the fiscal year ending in year t-2 to the fiscal year ending in t-1,
divided by t-2 total assets.
Annual returns are from January to December.

Missing data are indicated by -99.99 or -999.

The break points include utilities and include financials.

The  portfolios  include utilities and include financials.


  Average Value Weighted Returns -- Monthly
,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
198404,  -0.92,   0.07,  -0.74,   1.36,   1.13,  -0.32
198405,  -5.40,  -3.79,  -6.09,  -6.01,  -5.03,  -4.34
198406,   2.18,   3.02,   3.06,   1.12,   3.39,   3.30
198407,  -5.86,  -2.09,  -4.79,  -4.01,  -1.16,  -0.82
198408,  10.63,  10.08,  12.92,  12.87,   9.95,  12.34
198409,   0.49,   1.68,  -2.01,   0.89,   0.51,  -1.62
198410,  -2.49,   0.12,  -1.30,  -0.99,   1.17,   0.25
198411,  -1.73,  -0.10,  -3.43,  -0.08,  -0.40,  -2.48
198412,   0.60,   2.28,   2.58,   2.17,   2.59,   2.75
198501,  10.82,   9.80,  13.77,   7.07,   6.83,  10.80
198502,   2.51,   2.60,   2.56,   2.74,   1.87,   0.64
198503,  -1.17,  -0.14,  -2.77,   2.18,   0.39,  -2.15
198504,  -0.78,   0.87,  -1.55,   0.02,  -0.25,  -0.76
198505,   2.74,   3.83,   4.61,   5.45,   6.19,   6.55
198506,   1.32,   2.70,   2.14,   1.00,   2.07,   1.37
198507,   2.71,   2.14,   2.51,  -0.58,  -0.94,   0.20
198508,  -0.36,   0.63,  -2.09,   0.48,  -0.31,  -1.54
198509,  -5.58,  -4.22,  -6.57,  -2.42,  -3.38,  -4.67
198510,   2.59,   4.10,   3.04,   3.44,   5.32,   5.23
198511,   4.70,   7.30,   7.92,   6.04,   7.33,   7.48
198512,   2.92,   4.63,   4.73,   3.57,   4.49,   5.37
198601,   1.33,   1.72,   2.52,  -1.40,   1.58,   1.50
198602,   5.34,   7.72,   7.67,   6.55,   9.09,   7.07
198603,   5.33,   5.29,   4.43,   5.75,   6.06,   4.64
198604,   0.98,   1.13,   2.18,   0.69,  -2.68,  -0.57
198605,   3.70,   4.87,   3.56,   6.36,   5.47,   4.29
198606,   0.02,   1.60,  -0.05,   1.15,   3.03,  -0.53
198607,  -9.68,  -6.90, -10.13,  -6.51,  -3.65,  -7.30
198608,   3.86,   3.69,   2.47,  10.56,   7.37,   5.43
198609,  -5.19,  -5.67,  -7.50,  -4.06,  -9.39,  -9.00
198610,   3.55,   2.80,   3.68,   6.49,   5.80,   4.54
198611,   0.11,   0.27,  -0.35,   2.10,   2.36,   1.35
198612,  -3.19,  -1.89,  -3.02,  -3.15,  -2.25,  -3.27
198701,  11.89,  10.12,  12.01,  11.12,  13.41,  13.13
198702,   7.67,   6.78,   7.99,   1.74,   3.25,   6.91
198703,   4.29,   1.55,   1.06,   5.94,   1.52,   1.14
198704,  -1.82,  -2.97,  -3.52,  -0.31,  -2.08,  -1.06
198705,   0.75,  -0.07,  -0.11,   2.11,   0.57,   0.31
198706,   2.60,   2.84,   2.29,   5.32,   5.62,   3.87
198707,   5.27,   3.41,   2.35,   5.53,   3.55,   5.22
198708,   1.22,   3.78,   3.77,   3.84,   4.09,   4.50
198709,  -0.61,  -1.44,  -2.60,  -1.23,  -2.07,  -3.08
198710, -29.95, -26.46, -32.05, -21.13, -20.08, -23.58
198711,  -4.55,  -2.87,  -6.51,  -8.83,  -7.17,  -8.23
198712,   5.78,   6.93,   8.15,   6.30,   6.77,   8.73
198801,   6.02,   4.32,   3.25,   6.04,   4.12,   4.46
198802,   7.57,   8.30,   8.09,   5.38,   4.22,   5.09
198803,   4.71,   3.44,   3.13,  -0.78,  -3.31,  -3.12
198804,   3.22,   2.11,   0.86,   1.83,   0.71,   0.39
198805,  -1.57,  -1.67,  -2.34,   0.26,   1.11,   0.30
198806,   5.17,   7.63,   7.40,   1.86,   5.59,   6.24
198807,  -0.03,  -0.32,  -1.94,  -0.64,  -0.31,  -1.66
198808,  -1.89,  -1.89,  -3.79,  -2.28,  -2.36,  -3.89
198809,   2.38,   3.40,   2.21,   3.47,   4.17,   4.59
198810,  -0.63,  -0.52,  -1.10,   3.65,   1.96,   2.02
198811,  -2.51,  -2.93,  -3.98,  -0.52,  -1.51,  -2.21
198812,   4.37,   3.17,   3.86,   1.26,   1.86,   2.51
198901,   5.33,   4.14,   4.84,   7.50,   6.31,   7.66
198902,   1.42,   1.30,  -0.03,  -0.49,  -2.17,  -2.76
198903,   3.07,   2.94,   3.15,   2.99,   2.24,   1.42
198904,   3.91,   3.99,   4.90,   5.11,   5.15,   5.16
198905,   4.11,   3.64,   4.61,   4.27,   4.34,   3.81
198906,  -0.86,  -0.48,  -2.97,  -0.18,  -0.24,  -1.08
198907,   3.87,   3.79,   4.74,   8.54,   8.08,   8.88
198908,   2.10,   2.86,   2.46,   1.98,   1.72,   2.61
198909,   0.41,   0.21,   0.63,   0.94,  -0.51,  -0.50
198910,  -6.79,  -5.24,  -5.90,  -1.51,  -3.26,  -2.46
198911,   1.59,   0.27,   0.37,   2.76,   1.94,   1.15
198912,  -0.44,   0.28,  -0.27,   4.07,   1.80,   0.97
199001,  -7.25,  -7.80,  -9.77,  -6.99,  -7.03,  -7.12
199002,   2.27,   1.90,   3.92,   1.74,   1.46,   1.28
199003,   3.42,   3.19,   4.66,   2.10,   2.06,   2.84
199004,  -3.85,  -2.29,  -3.73,  -3.72,  -2.51,  -1.87
199005,   6.30,   6.13,   8.02,   8.46,   9.64,   9.72
199006,   1.45,   0.69,   0.35,  -1.81,  -0.43,   0.02
199007,  -3.38,  -3.15,  -5.34,   1.69,  -0.63,  -2.53
199008, -12.15, -11.26, -14.92,  -7.24,  -8.88, -10.46
199009,  -8.45,  -7.72, -10.70,  -3.03,  -3.97,  -8.18
199010,  -7.83,  -4.29,  -6.40,  -1.69,   0.63,  -2.22
199011,   4.59,   5.66,   9.28,   4.83,   6.21,   9.59
199012,   2.14,   4.25,   3.76,   2.22,   2.40,   4.67
199101,   8.84,   6.84,   9.55,   1.00,   4.19,   8.42
199102,  12.32,   9.89,  11.58,   6.77,   7.04,   7.83
199103,   7.04,   4.41,   7.81,   2.01,   2.70,   3.23
199104,   0.64,   1.08,   0.12,   1.32,  -0.24,   0.46
199105,   4.02,   3.82,   4.52,   1.37,   3.90,   5.78
199106,  -5.23,  -2.57,  -5.18,  -3.73,  -4.42,  -5.04
199107,   3.09,   2.37,   4.72,   4.40,   4.15,   5.60
199108,   3.97,   3.10,   4.22,   2.67,   1.85,   3.54
199109,   0.22,   0.09,   1.18,  -0.66,  -0.93,  -1.93
199110,   2.31,   1.64,   3.38,   1.74,   1.72,   1.28
199111,  -4.19,  -3.92,  -5.24,  -3.02,  -5.02,  -2.22
199112,   7.20,   7.59,   9.20,   9.78,   9.31,  14.05
199201,  11.64,   7.68,   6.98,   0.55,  -2.18,  -1.17
199202,   4.34,   3.17,   2.14,   2.53,   1.28,   0.67
199203,  -1.54,  -1.18,  -4.96,  -1.98,  -1.81,  -2.45
199204,  -2.79,  -1.42,  -5.09,   2.62,   4.07,   0.48
199205,   1.22,   1.31,  -0.05,   0.34,   0.60,   0.78
199206,  -4.40,  -2.68,  -5.39,  -1.34,  -1.05,  -2.50
199207,   2.61,   3.68,   3.03,   3.34,   4.07,   4.54
199208,  -4.58,  -2.15,  -2.96,  -3.48,  -1.77,  -1.94
199209,   1.46,   1.50,   1.96,   1.18,   0.87,   1.89
199210,   2.58,   2.59,   3.65,   1.98,  -0.76,   2.67
199211,   7.20,   7.09,   8.92,   3.42,   2.75,   5.13
199212,   4.47,   3.66,   2.62,   1.62,   1.30,   1.85
199301,   5.11,   3.79,   2.41,   3.17,   0.68,   0.09
199302,  -0.79,  -0.06,  -4.55,   2.82,   2.51,  -1.57
199303,   3.01,   3.18,   1.97,   2.87,   2.59,   2.18
